board,moving_colour,move
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001000000/00000001000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000,0,e2e4
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000001000000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000,1,c7c6
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000110000000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000001000000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000,1,b1c3
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000110000000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000001000000000000000000100000000000010000000000001/00000000000010000000000001000000001000000000000000010000000000001000000000000100000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000001000000000000010000000000100000000000100000000000100000,1,d7d5
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000110000000000000000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000001000000000000000000100000000000010000000000001/00000000000010000000000001000000001000000000000000010000000000001000000000000100000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000001000000000000010000000000100000000000100000000000100000,1,d1f3
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000110000000000000000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000001000000000000000000100000000000010000000000001/00000000000010000000000001000000001000000000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000100000000000100000000000100000,1,d5e4
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000011000000000000000000000000100000000000010000000000001/00000000000010000000000001000000001000000000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000100000000000100000000000100000,1,c3e4
01000000000000010000000000000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000010000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000100000000000100000000000100000,1,b8d7
01000000000000000000000001000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100100000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000010000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000100000000000100000000000100000,1,f1c4
01000000000000000000000001000100000000000001000000000000010000000000100000000000100000000000100000000000/10000000000001000000000000000000000000100100000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000010000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,g8f6
