game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game28,20,"[84.02481450599953, 47.221737686999404, 78.9890560879976, 80.82155310799862, 79.21144708700012, 79.59615773300175, 78.92182374900221, 80.88295166399985, 80.06789548699817, 75.38671227799932]",mate_in_4,0,draw,1000,UCB
game0,20,"[85.09936640400001, 83.76514635899998, 22.54239219600001, 5.17789944499998, 32.592863636999994, 49.471743855, 29.816654932000006, 73.42735431899996, 72.78708121, 72.022341831]",mate_in_4,0,draw,1000,UCB
game14,20,"[83.88617890299975, 83.7241685629997, 83.38168248200054, 85.594549327001, 84.13049673700152, 82.26817346900134, 79.53956359099902, 80.7265096029987, 80.22732599099982, 77.16621900100108]",mate_in_4,0,draw,1000,UCB
game23,20,"[81.97918529699928, 81.04306929599989, 84.91770575699957, 81.74499912799911, 83.84387978599989, 48.72110013499878, 83.3599966999991, 82.57873884899891, 85.80896223799937, 82.09078718800083]",mate_in_4,0,draw,1000,UCB
game5,20,"[80.70030684400035, 85.17413818900013, 81.9962316240003, 71.91061788499974, 79.46452037100016, 80.50169671900039, 28.949411245000192, 80.55071052099993, 76.26599312799999, 79.17583618100025]",mate_in_4,0,draw,1000,UCB
game12,20,"[83.25108524899952, 80.86848574900068, 78.2487300140001, 76.04345353100052, 77.75723265299985, 80.15245029200014, 46.37045345200022, 75.78128892300083, 77.03084913800012, 75.37787384500007]",mate_in_4,0,draw,1000,UCB
game3,17,"[85.65350953799998, 81.70068496500016, 85.25201501999982, 81.49161571200011, 80.24678278900001, 82.67035679399987, 37.69386514400003, 5.286389384999893, 5.091997495000214]",mate_in_4,0,White,1000,UCB
game26,20,"[81.57260666900038, 81.17629657200087, 80.35194271900036, 79.45255688399993, 79.6845579159999, 83.79727069699948, 81.73801676999938, 83.53848201499932, 24.100667457998497, 32.3259798700019]",mate_in_4,0,draw,1000,UCB
game29,20,"[80.50513607900211, 83.35814868899979, 81.3145913949993, 82.7440540839998, 81.0901949379986, 82.38123201399867, 79.54230672800259, 79.93353756500073, 83.53393993600184, 42.980135387999326]",mate_in_4,0,draw,1000,UCB
game10,20,"[82.8424311710005, 81.82752407799944, 82.65919967599984, 81.99483388499993, 80.15694223500032, 78.48801987199931, 16.790878781000174, 4.001210864999848, 3.7730275339999935, 71.64549953200003]",mate_in_4,0,draw,1000,UCB
game13,20,"[83.46119806500064, 84.73901279200072, 79.23344380699928, 80.61798612700113, 80.91858615599995, 80.6596613239999, 38.8591638980015, 75.82070768199992, 22.485348461001195, 4.36171903200011]",mate_in_4,0,draw,1000,UCB
game11,20,"[83.84353362999991, 83.25268915099969, 78.42245132900007, 78.95006233800086, 81.44621228200049, 81.35641509499965, 78.77326995099975, 75.95326555199972, 78.33274287400036, 74.8789647399999]",mate_in_4,0,draw,1000,UCB
game19,20,"[81.89846718599983, 82.87470249200123, 83.77957501499986, 82.61071675700077, 85.6736129810015, 86.90602595900054, 86.16974962800123, 34.29687014400042, 79.70676645499952, 83.21356780800124]",mate_in_4,0,draw,1000,UCB
game8,20,"[80.80571749799947, 77.9894247279999, 78.37886580899976, 78.9576266920003, 79.20847842900002, 78.84259918399948, 79.92238882400034, 76.88821937300054, 80.91710615699958, 76.84325081799943]",mate_in_4,0,draw,1000,UCB
game1,20,"[80.433246199, 81.41612909799994, 82.14717664700004, 43.323902342, 81.23172597500002, 78.65113551399998, 75.12340404899987, 79.82321023600002, 78.23134564299994, 45.197741796999935]",mate_in_4,0,draw,1000,UCB
game22,15,"[81.59613777900086, 84.50740010899972, 80.6116151389997, 81.68220166299943, 52.39981701900069, 78.9378366410001, 76.26777216500159, 4.064711680000983]",mate_in_4,0,White,1000,UCB
game16,20,"[84.25095939699895, 82.48644499000147, 83.7774138370005, 82.8651443639992, 83.47373934399911, 82.74677481800063, 83.4364589830002, 80.47081608799999, 77.17213051900035, 76.16055315300036]",mate_in_4,0,draw,1000,UCB
game4,20,"[82.65309917200011, 83.49674571599962, 81.03234705899968, 79.98940477999986, 76.6414113840001, 73.1220035209999, 74.35148924000032, 72.99704631899976, 73.09405478600002, 71.09024994600031]",mate_in_4,0,draw,1000,UCB
game24,20,"[85.78507976499895, 84.28056971099795, 83.74150845400072, 80.70126101099959, 81.06515872599994, 78.71967708199736, 79.88219850499809, 78.63025445099993, 78.98837012499644, 75.19099321500107]",mate_in_4,0,draw,1000,UCB
game25,20,"[82.96923122299995, 81.45325349499763, 81.43115737500193, 64.33906414299781, 42.33999447499809, 83.11332175599819, 78.80244711399791, 74.26395639600014, 74.66884043199752, 74.01720157599993]",mate_in_4,0,draw,1000,UCB
game21,20,"[85.36315362599998, 82.72494687699873, 75.65191343100014, 78.64029393499914, 79.57574789599857, 77.53642946900072, 83.45911199900002, 82.89019655499942, 63.65169997200064, 52.77603455700046]",mate_in_4,0,draw,1000,UCB
game17,20,"[84.5252505669996, 83.05460449999919, 82.3282768120007, 81.76568318700083, 81.51101811300032, 83.64555470400046, 83.49125129799904, 81.26935537400095, 78.80024204700021, 49.126795514999685]",mate_in_4,0,draw,1000,UCB
game18,20,"[84.36162988599972, 82.96587321799962, 79.35034891299983, 79.14519067000037, 80.3293481210003, 78.8595424390005, 80.46403259699946, 77.839331657, 41.51186177099953, 69.4700778690003]",mate_in_4,0,draw,1000,UCB
game27,20,"[82.78025856299791, 80.61145823900006, 83.61844779899911, 82.6233340309991, 79.7703130489972, 79.4855886860023, 79.21787507200133, 79.94579150700156, 76.35765595900011, 75.97241014099927]",mate_in_4,0,draw,1000,UCB
game20,20,"[72.92707463999977, 80.75181087300007, 81.56662311199943, 81.07674975400005, 82.49361838699951, 52.53035588000057, 83.88236438999957, 81.54362053599834, 28.49389557900031, 39.801672589999725]",mate_in_4,0,draw,1000,UCB
game9,20,"[80.86464485800025, 80.48261693899985, 70.91576049899959, 80.92858233400057, 80.93838181400042, 79.52901972600012, 79.40056684800038, 81.5266965689998, 76.65016707700033, 37.83048272100041]",mate_in_4,0,draw,1000,UCB
game7,11,"[24.810898335000275, 80.49153423499956, 59.0379030360009, 34.19088904900036, 4.7955652689997805, 5.577667246000601]",mate_in_4,0,White,1000,UCB
game2,20,"[84.68231439199985, 82.692903376, 84.87395173499999, 86.58940486999995, 32.26713477300018, 82.92092536600012, 39.2246034530001, 17.281176736999896, 24.790907385000082, 5.776339343000018]",mate_in_4,0,draw,1000,UCB
game15,20,"[80.83728905099997, 80.15045543700035, 82.18883238499984, 82.76643401699948, 22.155552906000594, 79.42179866900005, 77.19786452399967, 78.36729566800022, 77.65812224599904, 77.04712437299895]",mate_in_4,0,draw,1000,UCB
game6,20,"[81.81289486299966, 81.56033612400006, 82.76253651900015, 83.09532757500074, 65.5869570220002, 84.90886392399989, 85.25722355499965, 82.14342021899938, 81.1259096849999, 83.54259798299972]",mate_in_4,0,draw,1000,UCB
game28,1,[0.9200440790009452],mate_in_1,1,White,1000,UCB
game0,1,[0.9346380690003571],mate_in_1,1,White,1000,UCB
game14,1,[0.8588291900014156],mate_in_1,1,White,1000,UCB
game23,1,[0.9863639659997716],mate_in_1,1,White,1000,UCB
game5,1,[1.015368161999504],mate_in_1,1,White,1000,UCB
game12,1,[1.0710880589977023],mate_in_1,1,White,1000,UCB
game3,1,[0.8005546080021304],mate_in_1,1,White,1000,UCB
game26,1,[0.9421018909997656],mate_in_1,1,White,1000,UCB
game29,1,[0.8853042000009737],mate_in_1,1,White,1000,UCB
