game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,20,[8.528212943|30.115589717999995|31.991887512000005|31.313555637000007|27.501092029000006|23.641750588000008|28.56185075899998|29.21725566500001|30.880856153999986|30.946733361000014],mate_in_2,0,draw,600,UCB
game1,20,[11.312086980000004|31.58990813600002|29.820950605999997|31.47637744399998|29.54359867400001|17.23799640699997|29.405115583999986|19.77819848499996|13.558019505000004|29.113378433000037],mate_in_2,0,draw,600,UCB
game2,20,[29.8305839059999|26.633389945999966|28.901469589000044|29.24961316400004|6.459801719999973|20.302071189000003|30.20468401300002|26.215677955000046|9.894740866999996|9.264462870999978],mate_in_2,0,draw,600,UCB
game3,3,[25.102874031000056|4.027883689999953],mate_in_2,0,White,600,UCB
game4,3,[9.603033805999985|3.612834991999989],mate_in_2,0,White,600,UCB
game5,7,[12.221940428000039|30.57808971700001|9.359120521999898|3.4984177129999807],mate_in_2,0,White,600,UCB
game6,20,[14.109176447000095|11.335871609000037|30.857619403000058|31.539631979999967|30.683265097999993|30.184176105000006|28.662643444999958|30.227690953000092|28.514277030999892|28.60992282799998],mate_in_2,0,draw,600,UCB
game7,17,[8.69400941999993|22.82723747299997|13.890777595000145|21.04288072600002|27.249118699000064|9.39824747900002|18.40842003900002|9.818521309000062|3.2310450960001162],mate_in_2,0,White,600,UCB
game8,3,[22.73013070800016|3.569594018000089],mate_in_2,0,White,600,UCB
game9,17,[14.95008430100006|10.289353012999982|29.570382018000146|31.692598021999856|10.545020336000107|21.14284375000011|8.135360385000013|5.5822966169998836|3.583557123999981],mate_in_2,0,White,600,UCB
game0,19,[38.073861839000074|37.53110884899979|38.571246716999894|38.187942943999815|36.6331459500002|37.33452881799985|12.303410299000006|9.766951600000084|11.20083139899998|4.228393175000065],mate_in_3,0,White,600,UCB
game1,9,[38.65567618|20.471167123999976|14.418672979000121|8.148697841000057|3.7061952469998687],mate_in_3,0,White,600,UCB
game2,20,[16.628874040000028|38.17519853999988|37.12584101399989|36.74328990599997|34.69139430500013|6.966967593999925|20.854834654999877|15.490970913999945|35.2516083930002|35.04158316600001],mate_in_3,0,draw,600,UCB
game3,20,[33.11152247400014|18.446541327999967|38.89270048900016|40.288391950000005|40.3600685829997|39.79288325400012|38.95311617900006|38.80259754100007|39.71818817299982|37.30223860099977],mate_in_3,0,draw,600,UCB
game4,5,[39.04750095600002|13.261920762000045|3.669121485999767],mate_in_3,0,White,600,UCB
game5,20,[25.22506400500015|39.40342840999983|39.85802698899988|38.048597255000004|39.41623665799989|38.38951136600008|38.740795855000215|40.67406664500004|42.319238912999936|40.808199021999826],mate_in_3,0,draw,600,UCB
game6,7,[38.191338451999854|37.05837200899987|38.029296952000095|3.7644929980001507],mate_in_3,0,White,600,UCB
game7,7,[20.43192469900032|38.423791729000186|12.434480533000169|4.04058914899997],mate_in_3,0,White,600,UCB
game8,5,[37.67860097899984|15.054140786000062|4.207758308999928],mate_in_3,0,White,600,UCB
game9,7,[18.55676375899975|40.47448303500005|39.660827212000186|4.372422922000169],mate_in_3,0,White,600,UCB
