game,move_count,move_times,moves,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,1,[4.768591450999992],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game1,1,[4.651839268000003],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game2,1,[4.939292200000011],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game3,1,[4.675498094000005],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game4,1,[4.811340354999999],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game5,1,[4.392917579999988],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game6,1,[4.747448761999976],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game7,1,[4.728918976000017],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game8,1,[4.881110740999986],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game9,1,[4.677117944999992],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game10,1,[5.0444272880000085],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game11,1,[4.6975872029999834],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game12,1,[4.751945968000001],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game13,1,[4.348906478999993],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game14,1,[5.006329324000006],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game15,1,[4.486413757000008],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game16,1,[4.896497156999999],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game17,1,[5.166913778999998],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game18,1,[5.141982507999984],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game19,1,[5.043628482000003],[Move.from_uci('g5f7')],mate_in_1,1,White,900,UCB
game0,7,"[42.676404130000265, 45.42532641300022, 45.68904499400014, 9.218876580999677]","[Move.from_uci('e4c2'), Move.from_uci('c5e5'), Move.from_uci('c2g6'), Move.from_uci('g6f6')]",mate_in_2,1,White,900,UCB
game1,11,"[45.64285552899946, 39.97301193400017, 41.165194432000135, 40.05249006899976, 40.87441632399987, 9.073008934000427]","[Move.from_uci('c5h5'), Move.from_uci('e4c2'), Move.from_uci('h5g5'), Move.from_uci('c2f5'), Move.from_uci('g5g6'), Move.from_uci('f5h5')]",mate_in_2,1,White,900,UCB
game2,3,"[43.72446691100049, 10.87215748500057]","[Move.from_uci('c5h5'), Move.from_uci('e4h7')]",mate_in_2,1,White,900,UCB
game3,7,"[44.40928203899966, 45.387453262000236, 43.528854656000476, 8.305683074999251]","[Move.from_uci('e4g4'), Move.from_uci('c5c7'), Move.from_uci('e7c8'), Move.from_uci('g4g7')]",mate_in_2,1,White,900,UCB
game4,3,"[44.53112362399952, 15.058569978999913]","[Move.from_uci('e4b7'), Move.from_uci('b7a8')]",mate_in_2,1,White,900,UCB
game5,5,"[46.196903996999936, 45.83639333999963, 11.116841472000488]","[Move.from_uci('e4e2'), Move.from_uci('e2e6'), Move.from_uci('e6f6')]",mate_in_2,1,White,900,UCB
game6,9,"[45.605722760999925, 43.44112225899971, 42.64965659200061, 41.31155902400042, 8.714304570999957]","[Move.from_uci('e4b7'), Move.from_uci('b7c6'), Move.from_uci('c6e8'), Move.from_uci('e8f8'), Move.from_uci('f8g8')]",mate_in_2,1,White,900,UCB
game7,19,"[45.254407456999616, 45.1412575280001, 45.97039824500007, 46.38042829599999, 45.58742769299988, 46.179557639999985, 45.71421225300037, 48.65964111699941, 47.333865085999605, 8.306606109000313]","[Move.from_uci('e4g4'), Move.from_uci('e7c6'), Move.from_uci('c6a7'), Move.from_uci('g4d1'), Move.from_uci('g2g3'), Move.from_uci('a7c6'), Move.from_uci('d1c1'), Move.from_uci('c1b2'), Move.from_uci('b2b8'), Move.from_uci('b8f8')]",mate_in_2,1,White,900,UCB
game8,5,"[45.2134761440002, 43.57675296599973, 10.428488894999646]","[Move.from_uci('e4e6'), Move.from_uci('e6c8'), Move.from_uci('c8d8')]",mate_in_2,1,White,900,UCB
game9,17,"[44.89917341899945, 45.37697263700011, 46.412531453000156, 45.09097628900054, 46.37173001700012, 46.0821521429998, 49.15056740599994, 46.527132815000186, 14.294770753999728]","[Move.from_uci('e4a4'), Move.from_uci('a4a3'), Move.from_uci('a3f3'), Move.from_uci('f3e2'), Move.from_uci('e2e1'), Move.from_uci('e7c6'), Move.from_uci('c5b5'), Move.from_uci('e1e8'), Move.from_uci('e8f8')]",mate_in_2,1,White,900,UCB
game10,7,"[43.58670889699988, 43.67386052999973, 44.977482632999454, 10.642174077999698]","[Move.from_uci('g1h1'), Move.from_uci('e4a4'), Move.from_uci('a4a8'), Move.from_uci('a8f8')]",mate_in_2,1,White,900,UCB
game11,9,"[44.69630607700037, 45.773589218999405, 44.070950804999484, 44.00964704499984, 9.143336148000344]","[Move.from_uci('e4e3'), Move.from_uci('c5c4'), Move.from_uci('e3d2'), Move.from_uci('c4d4'), Move.from_uci('d4d8')]",mate_in_2,1,White,900,UCB
game12,11,"[46.23309618300027, 44.529534006000176, 44.39162282500001, 45.91230733700013, 45.99793284899988, 10.474687398999777]","[Move.from_uci('c5a5'), Move.from_uci('a5a2'), Move.from_uci('a2a3'), Move.from_uci('g2g3'), Move.from_uci('e4h4'), Move.from_uci('h4f6')]",mate_in_2,1,White,900,UCB
game13,11,"[44.594721680000475, 45.492720017000465, 45.77343035800004, 44.83895074999964, 40.46203702599996, 7.531458257999475]","[Move.from_uci('e4c2'), Move.from_uci('c2c3'), Move.from_uci('c5c8'), Move.from_uci('c8f8'), Move.from_uci('c3f6'), Move.from_uci('f6h8')]",mate_in_2,1,White,900,UCB
game14,20,"[44.4484171590002, 43.233442060000016, 45.139206141000614, 42.77436043200032, 41.695958653999696, 44.67848758400032, 43.69822928099984, 42.35525377200065, 45.082824046000496, 46.626201399999445]","[Move.from_uci('e4c4'), Move.from_uci('c5f5'), Move.from_uci('g2g4'), Move.from_uci('c4c1'), Move.from_uci('f5e5'), Move.from_uci('c1a1'), Move.from_uci('f2f4'), Move.from_uci('e7f5'), Move.from_uci('e5d5'), Move.from_uci('a1a5')]",mate_in_2,1,draw,900,UCB
game15,3,"[43.659440847999576, 19.95442468500005]","[Move.from_uci('e4e6'), Move.from_uci('c5h5')]",mate_in_2,1,White,900,UCB
game16,3,"[45.58892293900044, 9.867072041000029]","[Move.from_uci('c5h5'), Move.from_uci('e4h7')]",mate_in_2,1,White,900,UCB
game17,20,"[44.32454393399985, 45.515467397000066, 45.8635304139998, 46.09539822999977, 46.49027506699986, 47.47970345399972, 48.542779700999745, 48.63053560700064, 44.12434179800039, 44.024104860999614]","[Move.from_uci('e4b1'), Move.from_uci('c5d5'), Move.from_uci('b1d1'), Move.from_uci('h2h4'), Move.from_uci('d1d2'), Move.from_uci('e7c6'), Move.from_uci('c6b8'), Move.from_uci('d2d3'), Move.from_uci('d5c5'), Move.from_uci('d3d7')]",mate_in_2,1,draw,900,UCB
game18,5,"[44.93457700599993, 44.97668647200044, 10.124137865999728]","[Move.from_uci('e4b4'), Move.from_uci('c5c2'), Move.from_uci('c2c8')]",mate_in_2,1,White,900,UCB
game19,7,"[43.670572695000374, 43.60038124099992, 44.8736100369988, 7.603008530999432]","[Move.from_uci('e4h4'), Move.from_uci('g2g3'), Move.from_uci('c5e5'), Move.from_uci('e5h5')]",mate_in_2,1,White,900,UCB
game0,17,"[48.1214543110018, 49.78276515300058, 50.99711296199894, 48.6313097000002, 48.464626700000736, 49.17699869199896, 48.66016006599966, 49.08020212599877, 9.377248082999358]","[Move.from_uci('c7a7'), Move.from_uci('f5d6'), Move.from_uci('e2e3'), Move.from_uci('f2f3'), Move.from_uci('d6b5'), Move.from_uci('a7b7'), Move.from_uci('e7e5'), Move.from_uci('e5e6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game1,5,"[48.239405009999246, 47.040989637000166, 7.44152214299902]","[Move.from_uci('e2e4'), Move.from_uci('f2f3'), Move.from_uci('f3f4')]",mate_in_3,1,White,900,UCB
game2,7,"[48.32043118600086, 48.5184295880008, 48.53257030699933, 7.330344514999524]","[Move.from_uci('f5d6'), Move.from_uci('g1f1'), Move.from_uci('c7c6'), Move.from_uci('c6g6')]",mate_in_3,1,White,900,UCB
game3,9,"[48.92041951899955, 48.94888899199941, 38.3997844229998, 34.84369205099938, 9.190204178001295]","[Move.from_uci('g1g2'), Move.from_uci('e2e4'), Move.from_uci('f2f4'), Move.from_uci('h4f3'), Move.from_uci('f5e3')]",mate_in_3,1,White,900,UCB
game4,9,"[47.64519211900006, 48.61574673299947, 46.15028274799988, 42.13157630299975, 7.334683298000527]","[Move.from_uci('c7c8'), Move.from_uci('e7h7'), Move.from_uci('g1h2'), Move.from_uci('h7g7'), Move.from_uci('g7g6')]",mate_in_3,1,White,900,UCB
game5,5,"[47.369493467998836, 44.39354276499944, 10.407963271998597]","[Move.from_uci('c7c6'), Move.from_uci('f2f3'), Move.from_uci('c6g6')]",mate_in_3,1,White,900,UCB
game6,7,"[49.47450224400018, 46.7701250859991, 44.32341737299976, 8.091915343999062]","[Move.from_uci('c7c5'), Move.from_uci('c5c6'), Move.from_uci('c6f6'), Move.from_uci('f6g6')]",mate_in_3,1,White,900,UCB
game7,7,"[49.345720240000446, 47.072695779999776, 45.621667753999645, 6.448052034000284]","[Move.from_uci('c7c6'), Move.from_uci('f5g7'), Move.from_uci('c6e6'), Move.from_uci('e7g7')]",mate_in_3,1,White,900,UCB
game8,7,"[48.61090322900054, 48.87702459400134, 46.70206733100167, 7.989325064001605]","[Move.from_uci('c7c5'), Move.from_uci('g1f1'), Move.from_uci('e7e6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game9,9,"[49.07307056299942, 49.32155277600032, 46.50602041000093, 40.130544867002754, 7.148607088998688]","[Move.from_uci('f5e3'), Move.from_uci('c7c6'), Move.from_uci('e7g7'), Move.from_uci('f2f4'), Move.from_uci('c6g6')]",mate_in_3,1,White,900,UCB
game10,5,"[48.723577680000744, 48.37876866000079, 8.453137944001355]","[Move.from_uci('f5d6'), Move.from_uci('e7e6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game11,7,"[48.29987834599888, 48.41135892999955, 45.999491538001166, 10.259555369000736]","[Move.from_uci('c7d7'), Move.from_uci('d7d6'), Move.from_uci('f2f3'), Move.from_uci('f3f4')]",mate_in_3,1,White,900,UCB
game12,9,"[48.160219594999944, 48.328798382997775, 46.524529218997486, 40.71113613399939, 9.629418780001288]","[Move.from_uci('c7a7'), Move.from_uci('e2e4'), Move.from_uci('a7a6'), Move.from_uci('e7g7'), Move.from_uci('g7g6')]",mate_in_3,1,White,900,UCB
game13,5,"[48.84389878000002, 47.87234502100182, 10.48255737299769]","[Move.from_uci('e7e6'), Move.from_uci('f5d6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game14,3,"[48.16857618299764, 12.105110254997271]","[Move.from_uci('f2f3'), Move.from_uci('f3f4')]",mate_in_3,1,White,900,UCB
game15,7,"[48.22868844200275, 47.61911705499733, 46.5873334909993, 14.55885804799982]","[Move.from_uci('e7e5'), Move.from_uci('g1h2'), Move.from_uci('c7c6'), Move.from_uci('c6g6')]",mate_in_3,1,White,900,UCB
game16,11,"[47.963655943996855, 48.06965023799785, 45.622255780999694, 46.54971178999767, 42.79209109200019, 10.524951554998552]","[Move.from_uci('a6a7'), Move.from_uci('a7a8q'), Move.from_uci('a8b8'), Move.from_uci('c7c6'), Move.from_uci('e7e6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game17,15,"[48.72933904200181, 49.42327443600152, 48.429670415000146, 47.072357492001174, 48.44779013899824, 48.30224882699986, 47.798362888002885, 6.715774915002839]","[Move.from_uci('c7a7'), Move.from_uci('f2f3'), Move.from_uci('f5d4'), Move.from_uci('e2e3'), Move.from_uci('a7d7'), Move.from_uci('f3f4'), Move.from_uci('e7f7'), Move.from_uci('d4f5')]",mate_in_3,1,White,900,UCB
game18,5,"[48.87113081499774, 47.291949383998144, 11.152616177001619]","[Move.from_uci('g1h1'), Move.from_uci('e7g7'), Move.from_uci('g7g6')]",mate_in_3,1,White,900,UCB
game19,11,"[49.40852656700008, 48.11690157599878, 48.39298893600062, 49.396488880000106, 49.24272780400133, 8.928550739998173]","[Move.from_uci('h4g6'), Move.from_uci('g6e5'), Move.from_uci('e5g6'), Move.from_uci('e7e3'), Move.from_uci('c7g7'), Move.from_uci('e3e5')]",mate_in_3,1,White,900,UCB
game0,20,"[64.49220807699749, 64.4934078289989, 62.50908088199867, 64.40967677300068, 63.93179991800207, 62.8793516629994, 63.91994243799854, 64.26028959199903, 62.137841047999245, 60.89195219600151]","[Move.from_uci('h2h4'), Move.from_uci('d5b6'), Move.from_uci('b6a4'), Move.from_uci('c4d3'), Move.from_uci('d1e2'), Move.from_uci('a4b6'), Move.from_uci('h1h2'), Move.from_uci('d3c4'), Move.from_uci('c1c3'), Move.from_uci('h2h1')]",mate_in_4,0,draw,900,UCB
game1,20,"[65.31147405299998, 59.260457422999025, 59.57277610000165, 60.32277579500078, 59.71220935100064, 59.76378832499904, 59.762098758998036, 59.94910829499713, 58.38638094400085, 57.161744780001754]","[Move.from_uci('h2g3'), Move.from_uci('d1e2'), Move.from_uci('c4b5'), Move.from_uci('e2d2'), Move.from_uci('d2e2'), Move.from_uci('b5d3'), Move.from_uci('h1h5'), Move.from_uci('d5e3'), Move.from_uci('e3f5'), Move.from_uci('d3c4')]",mate_in_4,0,draw,900,UCB
game2,20,"[64.39697050500035, 65.1470957269994, 65.61681229899841, 67.02225992899912, 66.2870070329991, 65.89491114799966, 66.69039143900227, 65.34362845999931, 67.10819747400092, 63.67106795699874]","[Move.from_uci('c1a1'), Move.from_uci('d1c2'), Move.from_uci('e1d2'), Move.from_uci('a1f1'), Move.from_uci('f1c1'), Move.from_uci('d5f6'), Move.from_uci('e3e4'), Move.from_uci('c4d3'), Move.from_uci('d3c4'), Move.from_uci('h1f1')]",mate_in_4,0,draw,900,UCB
game3,20,"[63.87476064799921, 68.30327981900336, 66.79847169700224, 65.76888496000174, 64.88635645499744, 64.4305060580009, 67.27868120399944, 66.67220341699795, 66.52211111399811, 63.967019589999836]","[Move.from_uci('c1a1'), Move.from_uci('c4f1'), Move.from_uci('h2h4'), Move.from_uci('f1d3'), Move.from_uci('d5c3'), Move.from_uci('h1h2'), Move.from_uci('b2b4'), Move.from_uci('d3e2'), Move.from_uci('f2e3'), Move.from_uci('c3a4')]",mate_in_4,0,draw,900,UCB
