game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,1,[2.8082286609999993],mate_in_1,0,White,800,UCB
game1,1,[2.543573468],mate_in_1,0,White,800,UCB
game2,1,[2.6013001300000003],mate_in_1,0,White,800,UCB
game3,1,[2.576898797],mate_in_1,0,White,800,UCB
game4,1,[2.599606951],mate_in_1,0,White,800,UCB
game5,1,[2.7904913949999983],mate_in_1,0,White,800,UCB
game6,1,[2.5867495359999992],mate_in_1,0,White,800,UCB
game7,1,[2.654756669000001],mate_in_1,0,White,800,UCB
game8,1,[2.646512006000002],mate_in_1,0,White,800,UCB
game9,1,[2.6715694250000013],mate_in_1,0,White,800,UCB
game10,1,[2.6736470489999995],mate_in_1,0,White,800,UCB
game11,1,[2.5775504699999985],mate_in_1,0,White,800,UCB
game12,1,[2.7677164649999995],mate_in_1,0,White,800,UCB
game13,1,[2.5568765469999946],mate_in_1,0,White,800,UCB
game14,1,[2.669727005999995],mate_in_1,0,White,800,UCB
game0,11,[35.879824262|27.282957318|32.71893816699999|5.249244242000003|8.504119739999993|4.517496851999994],mate_in_2,0,White,800,UCB
game1,20,[11.465927869000012|8.073925856000017|2.9183784300000184|4.881666102999986|13.270866442999989|14.493722888000008|10.53746627800001|10.628725869999982|5.313471554000017|7.061825129999988],mate_in_2,0,draw,800,UCB
game2,3,[13.139165191000018|4.3434380420000025],mate_in_2,0,White,800,UCB
game3,3,[19.496386529000006|4.455967106999992],mate_in_2,0,White,800,UCB
game4,3,[7.300488592000022|3.185509030999981],mate_in_2,0,White,800,UCB
game5,5,[11.907486988999949|6.313307879999968|4.080927434999978],mate_in_2,0,White,800,UCB
game6,16,[9.836350068999991|11.106994328000042|39.737019745|17.682043730000032|16.669675040000016|7.777501595999979|8.896407081999996|8.563684437000006],mate_in_2,0,Black,800,UCB
game7,9,[12.337748486999999|9.997149485000023|8.544711902000017|12.843856232999997|4.159975638999981],mate_in_2,0,White,800,UCB
game8,20,[17.849151785999993|16.386996098999987|23.292797920999988|39.43973264199997|18.90769000900002|40.477706883999986|20.469901460000074|14.41261165100002|36.60603658599996|21.51897133099999],mate_in_2,0,draw,800,UCB
game9,11,[14.30542080600003|14.307447173000014|40.50102654799991|35.33736225999996|10.961119001000043|4.036300102999917],mate_in_2,0,White,800,UCB
game10,20,[14.307407207999972|25.779299172999913|39.984564317000036|18.895014185999912|20.804737852000017|6.769503572999952|9.32722486700004|26.86139002699997|14.075700687999984|36.49725287699994],mate_in_2,0,draw,800,UCB
game11,7,[19.831707440999935|16.04927448499984|13.886483346999967|4.199862985999971],mate_in_2,0,White,800,UCB
game12,5,[11.104602411000087|12.2689470360001|4.268805923999935],mate_in_2,0,White,800,UCB
