game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,20,[2.0416335250000004|2.146809083|1.877039496|1.7983368370000008|1.9287205940000014|1.7842755070000003|2.080827540999998|2.0812203830000016|2.0627981759999976|1.9784890360000027],mate_in_2,0,draw,50,UCB
game1,11,[2.2489841800000008|2.424511828|2.124942637|2.536866242000002|2.5188892900000006|1.8003066330000053],mate_in_2,0,White,50,UCB
game2,3,[2.214299926999999|1.973937294999999],mate_in_2,0,White,50,UCB
game3,20,[2.3780433340000044|1.9458324670000025|1.9693698080000033|2.24144527|1.9586450380000002|2.177866048999995|2.017334351999999|2.0819584750000004|2.2027430430000052|2.053738152000001],mate_in_2,0,draw,50,UCB
game4,20,[2.2117149159999983|1.9590691650000025|2.053625718999996|1.9925359790000101|2.1896447530000103|2.1963347740000074|1.9258433339999925|2.1154973160000026|2.303923517000001|2.2188546619999983],mate_in_2,0,draw,50,UCB
game5,9,[2.2275156119999906|2.225717426999992|2.1207121529999995|2.278434178000012|1.389614451],mate_in_2,0,White,50,UCB
game6,20,[1.9854245260000027|2.222977869999994|1.983138003999997|2.380923136000007|2.2983768460000107|2.318520344999996|2.2964464340000035|2.512077284|2.556340426999995|2.1528539290000026],mate_in_2,0,draw,50,UCB
game7,20,[2.1937288179999967|2.2842665609999955|2.554774688000009|2.0207000110000024|2.2526646600000078|2.4396570340000068|2.4979858620000073|2.379844698999989|2.3806784749999963|2.5075978480000174],mate_in_2,0,draw,50,UCB
game8,20,[2.118036705999998|2.1564576659999943|2.3705338970000014|2.3556672520000177|2.3006229539999765|2.213332424999976|2.302212835000006|2.058248691000017|2.1317323250000015|2.2522002540000017],mate_in_2,0,draw,50,UCB
game9,20,[1.9295125059999805|1.9440234319999945|2.0216737500000193|2.1200486179999984|1.8461996310000188|2.022259018999989|2.0862455559999944|2.4046207499999923|1.881794388000003|2.250981629999984],mate_in_2,0,draw,50,UCB
game0,20,[2.77772781500002|2.685176697000003|2.5717876930000045|2.749611578000014|2.8225709679999795|2.8548165329999904|2.878396973000008|2.9375410199999976|2.637900718999987|2.3427806550000128],mate_in_3,0,draw,50,UCB
game1,20,[3.051175723|2.71870044100001|2.83670363600001|2.898947234000019|2.736257225999992|2.9731925720000163|2.8277741039999853|2.6391584050000176|2.7071802190000085|2.460248194000002],mate_in_3,0,draw,50,UCB
game2,9,[2.7754776770000262|2.842314215999977|2.891223196999988|2.674747338000003|2.1032381119999854],mate_in_3,0,White,50,UCB
game3,20,[2.9516219369999988|3.128058643999964|2.720754069999998|2.7565261679999935|2.9381239419999474|2.8152165129999958|2.857626426999957|2.56597192199996|2.810951791999969|3.084336196000038],mate_in_3,0,draw,50,UCB
game4,20,[2.9912854440000274|2.698405797000021|2.8251408879999644|2.6777618660000257|2.9808954000000085|2.7545244000000366|2.917571205999991|2.731111217999967|2.6326074549999703|2.4201608959999703],mate_in_3,0,draw,50,UCB
game5,11,[2.9339456960000234|2.8415166130000102|1.567536510000025|1.5340022070000146|1.3576896179999949|1.1925185430000056],mate_in_3,0,White,50,UCB
game6,20,[2.711490285000025|3.0727756390000422|2.801309217000039|2.7476511069999674|2.8690977050000015|2.572592758999974|2.8701737879999882|2.191323354000019|2.46062258500001|3.0518742189999557],mate_in_3,0,draw,50,UCB
game7,20,[2.7305441409999958|3.0506114819999652|2.6532962040000143|2.860677866000003|3.270437500000014|3.1146702319999804|2.7343867160000173|2.8182529229999886|2.7896361350000234|2.819959204999975],mate_in_3,0,draw,50,UCB
game8,20,[2.999317719999965|1.729903035999996|3.0529597070000136|3.1736162560000025|3.0289212580000253|3.130082060999996|2.7798546330000136|2.925560216000008|2.8601034750000167|2.9318058399999813],mate_in_3,0,draw,50,UCB
game9,20,[3.022846499000025|2.984427975000017|2.9673733299999867|2.7562684449999892|2.733862563999992|2.818255292999993|3.0871445360000394|2.9047465760000364|2.9972948610000003|2.630208279000044],mate_in_3,0,draw,50,UCB
