game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game10,1,[4.190121204999997],mate_in_1,1,White,1000,Epsilon Greedy
game22,1,[4.027311459000032],mate_in_1,1,White,1000,Epsilon Greedy
game29,1,[4.196197186000006],mate_in_1,1,White,1000,Epsilon Greedy
game27,1,[4.1695733599999585],mate_in_1,1,White,1000,Epsilon Greedy
game7,1,[4.068608642000015],mate_in_1,1,White,1000,Epsilon Greedy
game16,1,[3.643663898],mate_in_1,1,White,1000,Epsilon Greedy
game5,1,[4.3760081579999905],mate_in_1,1,White,1000,Epsilon Greedy
game18,1,[4.032970222999978],mate_in_1,1,White,1000,Epsilon Greedy
game21,1,[4.147060118000013],mate_in_1,1,White,1000,Epsilon Greedy
game23,1,[3.818560020999996],mate_in_1,1,White,1000,Epsilon Greedy
game19,1,[3.931014726000001],mate_in_1,1,White,1000,Epsilon Greedy
game9,1,[3.9788225990000115],mate_in_1,1,White,1000,Epsilon Greedy
game17,1,[3.8562109990000124],mate_in_1,1,White,1000,Epsilon Greedy
game20,1,[3.27498139100004],mate_in_1,1,White,1000,Epsilon Greedy
game4,1,[3.8042009629999995],mate_in_1,1,White,1000,Epsilon Greedy
game8,1,[3.993038583000015],mate_in_1,1,White,1000,Epsilon Greedy
game3,1,[3.8038058869999816],mate_in_1,1,White,1000,Epsilon Greedy
game12,1,[3.6096715200000062],mate_in_1,1,White,1000,Epsilon Greedy
game15,1,[4.04512824599999],mate_in_1,1,White,1000,Epsilon Greedy
game28,1,[3.619702345999997],mate_in_1,1,White,1000,Epsilon Greedy
game26,1,[3.9608992610000087],mate_in_1,1,White,1000,Epsilon Greedy
game14,1,[4.032512269999984],mate_in_1,1,White,1000,Epsilon Greedy
game24,1,[3.850808887000028],mate_in_1,1,White,1000,Epsilon Greedy
game25,1,[3.831410372999983],mate_in_1,1,White,1000,Epsilon Greedy
game6,1,[4.120464550000008],mate_in_1,1,White,1000,Epsilon Greedy
game11,1,[4.081686080999987],mate_in_1,1,White,1000,Epsilon Greedy
game0,1,[3.3485042199999953],mate_in_1,1,White,1000,Epsilon Greedy
game2,1,[4.029180051999987],mate_in_1,1,White,1000,Epsilon Greedy
game1,1,[3.862478143000004],mate_in_1,1,White,1000,Epsilon Greedy
game13,1,[3.886121355],mate_in_1,1,White,1000,Epsilon Greedy
game10,3,[52.91818487599994|8.685056792000069],mate_in_2,1,White,1000,Epsilon Greedy
game22,17,[33.47377301300003|33.52445486099987|31.56846020500052|48.38812779|30.234567689999494|30.271036542999354|38.5723471780002|22.903378021999742|6.955376943999909],mate_in_2,1,White,1000,Epsilon Greedy
game29,9,[52.101518749000206|34.81055323700002|21.116997981000168|12.29050588500013|6.04703094100023],mate_in_2,1,White,1000,Epsilon Greedy
game27,3,[39.76267846599967|7.493669363000663],mate_in_2,1,White,1000,Epsilon Greedy
game7,13,[52.65314541099997|35.00795273899985|32.79837231200054|20.199101526999584|21.043532143999983|15.280013104999853|6.746904118999737],mate_in_2,1,White,1000,Epsilon Greedy
game16,7,[53.153034639|41.87633654500041|23.769897612000022|6.016775921999397],mate_in_2,1,White,1000,Epsilon Greedy
game5,13,[52.00849172699964|21.993397309000102|22.425898997999866|26.870631181000135|33.35008779599957|12.504663296000217|6.399011767000047],mate_in_2,1,White,1000,Epsilon Greedy
game18,3,[40.29278181800055|7.752495423000255],mate_in_2,1,White,1000,Epsilon Greedy
game21,13,[38.20694932100014|23.032238877000054|50.18282906500008|33.51116236300004|21.684727763999945|29.933573258999786|6.847451139999976],mate_in_2,1,White,1000,Epsilon Greedy
game23,5,[31.740859857000032|27.82063565699991|7.0603103530002045],mate_in_2,1,White,1000,Epsilon Greedy
game19,3,[18.215931336999347|6.266148733000591],mate_in_2,1,White,1000,Epsilon Greedy
game9,3,[32.607313069000156|7.846382056000039],mate_in_2,1,White,1000,Epsilon Greedy
game17,3,[23.291722878000655|8.342834594000124],mate_in_2,1,White,1000,Epsilon Greedy
game20,3,[29.244621582000036|7.857401098999617],mate_in_2,1,White,1000,Epsilon Greedy
game4,11,[24.126680344000306|29.096684789000392|23.574452292999922|22.950693887999478|30.65207896299944|8.605648614000529],mate_in_2,1,White,1000,Epsilon Greedy
game8,7,[53.19433206299982|46.13041667000016|42.616990529999384|7.735635365999769],mate_in_2,1,White,1000,Epsilon Greedy
game3,20,[22.234878094000123|52.720677844999955|55.48164907200044|31.444742715000757|53.85596345999966|54.417361888000414|45.022877913999764|54.273512867000136|56.53193185800046|54.80221074600013],mate_in_2,1,draw,1000,Epsilon Greedy
game12,5,[53.023914775000776|51.08266267199997|6.964510982999855],mate_in_2,1,White,1000,Epsilon Greedy
game15,5,[39.81088144599926|23.47530444899985|6.155898347999937],mate_in_2,1,White,1000,Epsilon Greedy
game28,5,[51.67660931899991|46.607383366999784|7.951117386000078],mate_in_2,1,White,1000,Epsilon Greedy
game26,9,[51.717746466999415|51.91080322200014|30.87983282499954|21.493765917999553|6.629695364999861],mate_in_2,1,White,1000,Epsilon Greedy
game14,13,[28.59031875600067|51.871536311000455|41.308785285999875|27.806466511000508|20.0549600180002|17.121710458000052|7.4744793600002595],mate_in_2,1,White,1000,Epsilon Greedy
game24,5,[39.06699343800028|26.869864993999727|8.833445830000528],mate_in_2,1,White,1000,Epsilon Greedy
game25,3,[23.551972856999782|7.737007698000525],mate_in_2,1,White,1000,Epsilon Greedy
game6,5,[41.75796985699981|37.95784892099982|7.555770083000425],mate_in_2,1,White,1000,Epsilon Greedy
game11,7,[54.08638531699944|51.38499552599933|23.32726371999979|8.989918794000005],mate_in_2,1,White,1000,Epsilon Greedy
game0,3,[32.20163467300017|8.674788826000167],mate_in_2,1,White,1000,Epsilon Greedy
game2,3,[30.3913086929997|6.971194159999868],mate_in_2,1,White,1000,Epsilon Greedy
game1,20,[45.07697235099977|52.76604735899991|36.88952006699992|27.869522263999897|35.900404025999705|49.536305800000264|32.86375330699957|37.227729873000044|45.90995575299985|42.96662740100055],mate_in_2,1,draw,1000,Epsilon Greedy
game13,11,[52.31069025400029|52.91856718999952|51.91661565200047|25.288438134999524|43.13672623000002|7.013547474999541],mate_in_2,1,White,1000,Epsilon Greedy
game10,20,[56.76328263599862|32.79812032500013|26.1818133630004|41.64096081000025|24.19260147300156|56.92984172999968|55.39246591700066|50.06530673400084|45.07920483700036|50.54674834099933],mate_in_5,0,draw,1000,Epsilon Greedy
game22,3,[25.87751312599903|7.690339162001692],mate_in_5,0,White,1000,Epsilon Greedy
game29,5,[27.76727328400011|26.75450348100094|10.162845778999326],mate_in_5,0,White,1000,Epsilon Greedy
game27,11,[20.81656715400095|27.395850266000707|35.43880725300005|20.844336471000133|23.416429846000028|8.044759358999727],mate_in_5,0,White,1000,Epsilon Greedy
game7,11,[44.11515031899944|59.462958115998845|24.348983283998678|22.999792119999256|23.518409649001114|7.022730307000529],mate_in_5,0,White,1000,Epsilon Greedy
game16,11,[44.91816389399901|60.50193270900127|40.24941456200031|28.654802828001266|23.815534543000467|7.182595133999712],mate_in_5,0,White,1000,Epsilon Greedy
game5,3,[27.503741874001207|8.691868602001705],mate_in_5,0,White,1000,Epsilon Greedy
game18,5,[32.656692364000264|55.01611267499902|8.2983258940003],mate_in_5,0,White,1000,Epsilon Greedy
game21,11,[41.897698523000145|63.458283357000255|23.24675576900154|45.451432593999925|34.65513327299959|8.053210219000903],mate_in_5,0,White,1000,Epsilon Greedy
game23,20,[33.9895840750014|39.71206746200005|43.633587525999246|35.10165552199942|26.93077827599882|29.206783032999738|20.096958673999325|21.52825465800015|16.530401826999878|21.294902087000082],mate_in_5,0,draw,1000,Epsilon Greedy
game19,5,[62.152174580000064|38.93573521399958|9.266172687999642],mate_in_5,0,White,1000,Epsilon Greedy
game9,3,[25.86810036099996|9.4475454659987],mate_in_5,0,White,1000,Epsilon Greedy
