game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,1,[5.671750462],mate_in_1,0,White,800,Epsilon Greedy
game1,1,[5.7591574869999995],mate_in_1,0,White,800,Epsilon Greedy
game2,1,[5.8190961839999975],mate_in_1,0,White,800,Epsilon Greedy
game3,1,[6.173633681000002],mate_in_1,0,White,800,Epsilon Greedy
game4,1,[5.446837831],mate_in_1,0,White,800,Epsilon Greedy
game5,1,[5.998429394999999],mate_in_1,0,White,800,Epsilon Greedy
game6,1,[5.922787252999996],mate_in_1,0,White,800,Epsilon Greedy
game7,1,[5.085316847000001],mate_in_1,0,White,800,Epsilon Greedy
game8,1,[6.149041699000001],mate_in_1,0,White,800,Epsilon Greedy
game9,1,[5.256569992999999],mate_in_1,0,White,800,Epsilon Greedy
game10,1,[6.079064228],mate_in_1,0,White,800,Epsilon Greedy
game11,1,[5.688314353999999],mate_in_1,0,White,800,Epsilon Greedy
game12,1,[5.807101179],mate_in_1,0,White,800,Epsilon Greedy
game13,1,[5.813188120999996],mate_in_1,0,White,800,Epsilon Greedy
game14,1,[6.015103661000012],mate_in_1,0,White,800,Epsilon Greedy
game0,3,[25.578024298000003|6.433921647999995],mate_in_2,0,White,800,Epsilon Greedy
game1,20,[37.273580049|27.72512496799999|16.79298913300002|15.520064150000024|14.728586595999985|15.906421144000007|11.678218458999993|11.116235601000028|12.411310491999984|13.614687491999973],mate_in_2,0,draw,800,Epsilon Greedy
game2,3,[13.543542499000012|6.368812842000011],mate_in_2,0,White,800,Epsilon Greedy
game3,15,[29.055040870000028|37.55690127600002|39.20567924599999|24.21273964200003|16.17618493399999|13.262434426000027|26.481725673000028|5.931802667999989],mate_in_2,0,White,800,Epsilon Greedy
game4,3,[27.46762476200007|6.876702568999917],mate_in_2,0,White,800,Epsilon Greedy
game5,7,[31.76213347500004|37.82411328799992|28.716075778000004|7.892675915000041],mate_in_2,0,White,800,Epsilon Greedy
game6,15,[34.474309805000075|22.535205097000016|24.151522158000034|20.35926453600007|21.97756380599992|24.155368152999927|29.038684321000005|7.819869638],mate_in_2,0,White,800,Epsilon Greedy
game7,3,[16.994189886999948|6.277100945000029],mate_in_2,0,White,800,Epsilon Greedy
game8,20,[20.49488567600008|27.054495323000083|40.16124776000004|40.05745884700002|38.07633311599989|13.178247915999918|11.507609224999896|34.40235319399994|35.818393761999914|28.10213061500008],mate_in_2,0,draw,800,Epsilon Greedy
game9,13,[18.781026736000058|38.06240083500006|38.22173519000012|28.848007903999815|17.38785343199993|15.865009320000127|6.216470492999861],mate_in_2,0,White,800,Epsilon Greedy
game10,3,[25.027846640000007|6.790861640000003],mate_in_2,0,White,800,Epsilon Greedy
game11,20,[21.982072706000054|36.42570465200015|32.53299365900011|39.54763298700004|39.29855012300004|39.97328843100013|40.13399787499998|38.459464160999914|39.93376576800006|38.66815080099991],mate_in_2,0,draw,800,Epsilon Greedy
game12,7,[30.22423949799986|34.510763620000034|36.0469027229999|7.198279009999851],mate_in_2,0,White,800,Epsilon Greedy
game13,3,[11.427406769000072|6.902288951999935],mate_in_2,0,White,800,Epsilon Greedy
game14,11,[30.34604139199996|31.285945204999962|39.26632176400017|39.4511570279999|17.46009390500012|7.8187381879999975],mate_in_2,0,White,800,Epsilon Greedy
game0,15,[28.88471157899994|47.960139864999746|28.60176476300012|46.780182153999704|46.16839688300024|17.947960892000083|21.097416058999897|6.1132713140000305],mate_in_3,0,White,800,Epsilon Greedy
game1,5,[49.812161461000414|23.92388449100008|7.9840153129998725],mate_in_3,0,White,800,Epsilon Greedy
game2,17,[34.58733897299999|45.23216286700017|45.59710146899988|28.773713439999938|46.20043809200024|35.628262146|46.21965954999996|44.00704557800009|7.817020599999978],mate_in_3,0,White,800,Epsilon Greedy
game3,11,[48.14141238399998|29.127486509999926|36.85508138000023|43.69990605999965|47.135383593999904|8.293007018000026],mate_in_3,0,White,800,Epsilon Greedy
game4,13,[25.588038318000144|46.972735644000295|50.47993764299963|48.0775746029999|23.649969385000077|27.96446460900006|8.766946115000337],mate_in_3,0,White,800,Epsilon Greedy
game5,7,[49.66907965400014|30.30798205500014|40.39419700000008|8.021738024000115],mate_in_3,0,White,800,Epsilon Greedy
game6,3,[28.789361018999898|10.024772536],mate_in_3,0,White,800,Epsilon Greedy
game7,20,[22.0390484630002|48.64877855399982|49.46294852899973|49.12010733000034|50.220188903000235|47.65905165799995|47.2517219829997|46.23428219100015|18.718888552999942|46.51136961900011],mate_in_3,0,draw,800,Epsilon Greedy
game8,20,[49.326940510999975|46.02006869099978|50.158168984999975|48.95058324799993|47.29261949000011|47.927289070999905|48.80338130300015|47.312320822999936|46.3406964120004|47.274047109000094],mate_in_3,0,draw,800,Epsilon Greedy
game9,7,[26.388361684999836|27.373377060000166|15.678361700000096|7.2714747039999565],mate_in_3,0,White,800,Epsilon Greedy
game10,15,[33.30375691399968|47.60449392299961|49.2290751419996|52.04622944099992|49.983112097999765|43.4106026569998|25.130910341000344|7.9050164069994935],mate_in_3,0,White,800,Epsilon Greedy
game11,7,[50.4298408679997|48.41443709500072|28.324831918999735|8.927692615000524],mate_in_3,0,White,800,Epsilon Greedy
game12,20,[31.24374205699951|50.02618449300007|50.72540925700014|52.54706702899966|54.83209098499992|53.13867147000019|52.10220669499995|51.540854503000446|51.471247290000065|48.5762784439994],mate_in_3,0,draw,800,Epsilon Greedy
game13,3,[31.71000420600012|8.88177481799994],mate_in_3,0,White,800,Epsilon Greedy
game14,11,[49.96479234300023|37.30818137299957|25.048905375000686|36.3236362509997|23.2791269319996|7.922958328000277],mate_in_3,0,White,800,Epsilon Greedy
game0,3,[26.174223557000005|8.177248200000577],mate_in_5,0,White,800,Epsilon Greedy
game1,13,[28.63152778499989|33.33040872800029|34.03598099899955|28.303754120999656|45.103619769000034|43.59909342100036|8.210910591999891],mate_in_5,0,White,800,Epsilon Greedy
game2,3,[19.22802804100047|8.697788889000549],mate_in_5,0,White,800,Epsilon Greedy
game3,3,[23.12289129200053|7.7337299790006],mate_in_5,0,White,800,Epsilon Greedy
game4,3,[41.43254541399983|7.813003536999531],mate_in_5,0,White,800,Epsilon Greedy
game5,3,[23.194269336000616|8.718963232999158],mate_in_5,0,White,800,Epsilon Greedy
game6,7,[31.223186137000084|29.462961847999395|22.473911138000403|6.797151968000435],mate_in_5,0,White,800,Epsilon Greedy
game7,11,[45.00524024599963|44.347077706000164|46.27933127899996|12.419959175999793|23.136189414|7.842329703999894],mate_in_5,0,White,800,Epsilon Greedy
