game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game21,19,[64.72470330800024|64.35812486299983|60.65780766700027|59.0858313789995|60.80232854899987|59.409987666000234|58.000879115000316|58.99535769999966|60.74663311600034|7.16400177200012],mate_in_5,0,White,1000,Thompson Sampling
game26,20,[63.303815115999896|62.34604096899966|62.73272664599972|64.89296084799935|62.52590888800114|60.31526270200084|61.51940667300005|61.3359073240008|56.54660175400022|49.561303090000365],mate_in_5,0,draw,1000,Thompson Sampling
game4,20,[63.898830650000036|62.16868081000007|63.90184983200015|62.64844032199994|61.906112225000015|61.40657698200016|60.96906680500001|63.52168187099983|63.915749488999836|64.21613083200009],mate_in_5,0,draw,1000,Thompson Sampling
game24,5,[62.14696607500082|61.464342224000575|7.552679369999169],mate_in_5,0,White,1000,Thompson Sampling
game8,20,[61.72593428600021|61.145499754999946|62.3210133460002|61.015664818000005|61.8019541409999|60.62332414399998|58.00808616899985|58.86903884100002|58.23910623699976|55.53788647300007],mate_in_5,0,draw,1000,Thompson Sampling
game12,20,[62.92581168800007|63.326319857999806|63.66245561799997|64.41071657600014|62.935259483999744|62.48944047299983|60.26093955899978|58.94806964500003|59.13310526500027|61.228740981999636],mate_in_5,0,draw,1000,Thompson Sampling
game11,5,[63.77178495699991|60.201383450999856|6.990514038999663],mate_in_5,0,White,1000,Thompson Sampling
game19,20,[62.26591818899942|62.5359781140005|62.805582480999874|65.65243470299993|63.67869145699933|63.813219053000466|68.34202581499994|62.89446205400054|62.66212829399956|60.18728432300031],mate_in_5,0,draw,1000,Thompson Sampling
game9,20,[62.36454060300002|62.875996418999875|62.10897971500026|61.44133485300017|60.134242816000096|60.87662947000035|52.040600084999824|48.97931001300003|50.29296980800018|50.25794318199996],mate_in_5,0,draw,1000,Thompson Sampling
game3,9,[64.326086197|61.745569425999975|58.870131387000015|60.73412111999994|6.177083492999941],mate_in_5,0,White,1000,Thompson Sampling
game20,20,[62.934568889999355|63.67543793799996|65.72055337499933|63.84017468100046|64.68300415999965|63.34592476299986|64.1661693850001|62.80489091399977|64.05345626200051|60.62671505199978],mate_in_5,0,draw,1000,Thompson Sampling
game7,9,[62.34048365600006|63.423616004999985|61.785976593999976|60.06473180599983|5.5160022190002564],mate_in_5,0,White,1000,Thompson Sampling
game6,3,[62.29417258700005|6.760686175000046],mate_in_5,0,White,1000,Thompson Sampling
game23,3,[62.68859274600072|7.131508812000902],mate_in_5,0,White,1000,Thompson Sampling
game13,3,[63.062280089000524|7.752018308000515],mate_in_5,0,White,1000,Thompson Sampling
game10,5,[62.95798314900003|61.54061076100015|6.404243369999676],mate_in_5,0,White,1000,Thompson Sampling
game2,19,[63.90532768999998|63.573178360000014|64.16286590699997|65.31745824900003|65.49913728900003|65.85074598199998|65.01045388400007|63.11349417700001|64.38044894400002|6.115935808999893],mate_in_5,0,White,1000,Thompson Sampling
game15,17,[62.59520056099973|56.96245770800033|57.97166559799916|59.86955130199931|60.532787893000204|59.96823781600051|43.007569880999654|50.12897675400018|5.686403837999933],mate_in_5,0,White,1000,Thompson Sampling
game18,20,[61.741927504999694|62.955257953|59.43832522899993|60.50663707500007|62.174719781999556|62.2249035599998|61.50547497400021|60.172185971000545|61.98302951000005|59.861303412999405],mate_in_5,0,draw,1000,Thompson Sampling
game29,5,[61.691809431000365|61.693961263001256|5.960404131999894],mate_in_5,0,White,1000,Thompson Sampling
game25,7,[61.98654263000026|64.80581898499986|65.91066965500067|7.54098887300097],mate_in_5,0,White,1000,Thompson Sampling
game5,5,[62.551485433999915|62.68236348999994|6.872775394999962],mate_in_5,0,White,1000,Thompson Sampling
game27,7,[62.25766392100013|63.102227450999635|37.82916294200004|6.73242713700165],mate_in_5,0,White,1000,Thompson Sampling
game17,3,[63.28976685499947|7.952957923000213],mate_in_5,0,White,1000,Thompson Sampling
game1,3,[63.439998128|6.756959246000008],mate_in_5,0,White,1000,Thompson Sampling
game0,3,[63.434161116999995|6.9146429199999915],mate_in_5,0,White,1000,Thompson Sampling
game28,19,[64.02455815800022|64.37830779000069|59.286026187999596|56.72010194299946|55.04717661699942|56.1813531889984|58.3699809180016|51.67131668900038|54.37239166700056|5.331956349999018],mate_in_5,0,White,1000,Thompson Sampling
game14,3,[63.35388172100011|8.228104685999824],mate_in_5,0,White,1000,Thompson Sampling
game22,20,[61.463292307999836|63.787800006|63.29434878200027|63.680376191000505|60.099421230999724|57.151906145000794|57.12832677999904|56.636373835000995|55.17814350899971|57.26634920000106],mate_in_5,0,draw,1000,Thompson Sampling
game16,20,[60.966687494000325|62.89358111599995|64.40974483799982|65.42410784299955|63.182349076999344|62.168987782999466|61.96096794300047|60.21487968800011|58.68566407100025|56.923248365999825],mate_in_5,0,draw,1000,Thompson Sampling
game21,20,[86.50321694900049|86.8716052719974|84.50838105799994|83.7318067289998|80.06449437000265|84.0680175669986|83.17617902599886|81.88118224999926|79.36991109700102|78.04252986799838],mate_in_4,0,draw,1000,Thompson Sampling
game26,20,[85.11790756699702|82.15889533700101|80.62556069700076|83.56468536899774|82.84620135000296|79.8963491430004|77.69938582699979|78.24842309999804|78.78061345999959|79.41087196800072],mate_in_4,0,draw,1000,Thompson Sampling
game4,20,[84.32794244100114|84.3473712820014|84.35554591999971|82.76936950900017|82.63108828000077|81.61117162099981|78.60824693300128|76.97997382199901|77.495921705|77.2689858119993],mate_in_4,0,draw,1000,Thompson Sampling
game24,15,[83.95652025399977|86.63769324700115|86.95664010800101|83.09599283499847|79.56695643099738|83.22283525000239|80.58123606500158|9.760016576998169],mate_in_4,0,White,1000,Thompson Sampling
game8,20,[85.31535548999818|85.24964614200144|84.20350352999958|81.41188789499938|82.97920956899907|79.79907291899872|81.0496082110003|78.57987711299938|79.1546618909997|76.66364567099663],mate_in_4,0,draw,1000,Thompson Sampling
game12,20,[85.21332744299798|85.86351895699772|82.57806967999932|82.13315137300015|82.91787486799876|86.30537812499824|83.38970683699881|83.67229155200039|84.00366648999989|84.80454247500165],mate_in_4,0,draw,1000,Thompson Sampling
game11,20,[84.7544236299982|85.64067373099897|83.14050016100009|84.46806613499939|85.00780860400118|80.44188350299737|78.09871861599822|76.06648379100079|76.79441963199861|76.98842384500313],mate_in_4,0,draw,1000,Thompson Sampling
game19,20,[85.63538271600191|85.2016183300002|83.3827620560005|83.47174502299822|82.68430588099727|83.04764779099787|82.54678953499752|82.4933556190008|83.41884492500321|78.69148770000174],mate_in_4,0,draw,1000,Thompson Sampling
game9,20,[84.99950393099789|84.90389967699957|83.70199839199995|83.0542553669984|81.71869693999906|84.23642612399999|84.03340586800186|84.04389353299848|81.25230334099979|82.67591154299953],mate_in_4,0,draw,1000,Thompson Sampling
game3,20,[84.41507688499951|82.32837851799923|81.806084586|81.60739902600108|78.76008129099864|79.33496133100016|79.85345757700088|77.40424395400078|75.87176120599906|76.64196220700069],mate_in_4,0,draw,1000,Thompson Sampling
