"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game0","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.671750462,1,0
"game1","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.759157487,1,0
"game2","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.819096184,1,0
"game3","1","mate_in_1","0","White","800","Epsilon Greedy","X1",6.173633681,1,0
"game4","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.446837831,1,0
"game5","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.998429395,1,0
"game6","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.922787253,1,0
"game7","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.085316847,1,0
"game8","1","mate_in_1","0","White","800","Epsilon Greedy","X1",6.149041699,1,0
"game9","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.256569993,1,0
"game10","1","mate_in_1","0","White","800","Epsilon Greedy","X1",6.079064228,1,0
"game11","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.688314354,1,0
"game12","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.807101179,1,0
"game13","1","mate_in_1","0","White","800","Epsilon Greedy","X1",5.813188121,1,0
"game14","1","mate_in_1","0","White","800","Epsilon Greedy","X1",6.01510366100001,1,0
"game0","3","mate_in_2","0","White","800","Epsilon Greedy","X1",25.578024298,3,0
"game1","20","mate_in_2","0","draw","800","Epsilon Greedy","X1",37.273580049,3,17
"game2","3","mate_in_2","0","White","800","Epsilon Greedy","X1",13.543542499,3,0
"game3","15","mate_in_2","0","White","800","Epsilon Greedy","X1",29.05504087,3,12
"game4","3","mate_in_2","0","White","800","Epsilon Greedy","X1",27.4676247620001,3,0
"game5","7","mate_in_2","0","White","800","Epsilon Greedy","X1",31.762133475,3,4
"game6","15","mate_in_2","0","White","800","Epsilon Greedy","X1",34.4743098050001,3,12
"game7","3","mate_in_2","0","White","800","Epsilon Greedy","X1",16.9941898869999,3,0
"game8","20","mate_in_2","0","draw","800","Epsilon Greedy","X1",20.4948856760001,3,17
"game9","13","mate_in_2","0","White","800","Epsilon Greedy","X1",18.7810267360001,3,10
"game10","3","mate_in_2","0","White","800","Epsilon Greedy","X1",25.02784664,3,0
"game11","20","mate_in_2","0","draw","800","Epsilon Greedy","X1",21.9820727060001,3,17
"game12","7","mate_in_2","0","White","800","Epsilon Greedy","X1",30.2242394979999,3,4
"game13","3","mate_in_2","0","White","800","Epsilon Greedy","X1",11.4274067690001,3,0
"game14","11","mate_in_2","0","White","800","Epsilon Greedy","X1",30.346041392,3,8
"game0","15","mate_in_3","0","White","800","Epsilon Greedy","X1",28.8847115789999,5,10
"game1","5","mate_in_3","0","White","800","Epsilon Greedy","X1",49.8121614610004,5,0
"game2","17","mate_in_3","0","White","800","Epsilon Greedy","X1",34.587338973,5,12
"game3","11","mate_in_3","0","White","800","Epsilon Greedy","X1",48.141412384,5,6
"game4","13","mate_in_3","0","White","800","Epsilon Greedy","X1",25.5880383180001,5,8
"game5","7","mate_in_3","0","White","800","Epsilon Greedy","X1",49.6690796540001,5,2
"game6","3","mate_in_3","0","White","800","Epsilon Greedy","X1",28.7893610189999,5,-2
"game7","20","mate_in_3","0","draw","800","Epsilon Greedy","X1",22.0390484630002,5,15
"game8","20","mate_in_3","0","draw","800","Epsilon Greedy","X1",49.326940511,5,15
"game9","7","mate_in_3","0","White","800","Epsilon Greedy","X1",26.3883616849998,5,2
"game10","15","mate_in_3","0","White","800","Epsilon Greedy","X1",33.3037569139997,5,10
"game11","7","mate_in_3","0","White","800","Epsilon Greedy","X1",50.4298408679997,5,2
"game12","20","mate_in_3","0","draw","800","Epsilon Greedy","X1",31.2437420569995,5,15
"game13","3","mate_in_3","0","White","800","Epsilon Greedy","X1",31.7100042060001,5,-2
"game14","11","mate_in_3","0","White","800","Epsilon Greedy","X1",49.9647923430002,5,6
"game0","3","mate_in_5","0","White","800","Epsilon Greedy","X1",26.174223557,9,-6
"game1","13","mate_in_5","0","White","800","Epsilon Greedy","X1",28.6315277849999,9,4
"game2","3","mate_in_5","0","White","800","Epsilon Greedy","X1",19.2280280410005,9,-6
"game3","3","mate_in_5","0","White","800","Epsilon Greedy","X1",23.1228912920005,9,-6
"game4","3","mate_in_5","0","White","800","Epsilon Greedy","X1",41.4325454139998,9,-6
"game5","3","mate_in_5","0","White","800","Epsilon Greedy","X1",23.1942693360006,9,-6
"game6","7","mate_in_5","0","White","800","Epsilon Greedy","X1",31.2231861370001,9,-2
"game7","11","mate_in_5","0","White","800","Epsilon Greedy","X1",45.0052402459996,9,2
"game8","9","mate_in_5","0","White","800","Epsilon Greedy","X1",46.6399558339999,9,0
"game9","11","mate_in_5","0","White","800","Epsilon Greedy","X1",24.091101725,9,2
"game10","15","mate_in_5","0","White","800","Epsilon Greedy","X1",29.1309960179997,9,6
"game11","3","mate_in_5","0","White","800","Epsilon Greedy","X1",21.8974370759997,9,-6
"game12","5","mate_in_5","0","White","800","Epsilon Greedy","X1",45.2320891519994,9,-4
"game13","5","mate_in_5","0","White","800","Epsilon Greedy","X1",28.0777543279992,9,-4
"game14","20","mate_in_5","0","draw","800","Epsilon Greedy","X1",37.4880936029995,9,11
"game0","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game1","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game2","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game3","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game4","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game5","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game6","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game7","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game8","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game9","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game10","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game11","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game12","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game13","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game14","1","mate_in_1","0","White","800","Epsilon Greedy","X2",0,1,0
"game0","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.43392164799999,3,0
"game1","20","mate_in_2","0","draw","800","Epsilon Greedy","X2",27.725124968,3,17
"game2","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.36881284200001,3,0
"game3","15","mate_in_2","0","White","800","Epsilon Greedy","X2",37.556901276,3,12
"game4","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.87670256899992,3,0
"game5","7","mate_in_2","0","White","800","Epsilon Greedy","X2",37.8241132879999,3,4
"game6","15","mate_in_2","0","White","800","Epsilon Greedy","X2",22.535205097,3,12
"game7","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.27710094500003,3,0
"game8","20","mate_in_2","0","draw","800","Epsilon Greedy","X2",27.0544953230001,3,17
"game9","13","mate_in_2","0","White","800","Epsilon Greedy","X2",38.0624008350001,3,10
"game10","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.79086164,3,0
"game11","20","mate_in_2","0","draw","800","Epsilon Greedy","X2",36.4257046520001,3,17
"game12","7","mate_in_2","0","White","800","Epsilon Greedy","X2",34.51076362,3,4
"game13","3","mate_in_2","0","White","800","Epsilon Greedy","X2",6.90228895199994,3,0
"game14","11","mate_in_2","0","White","800","Epsilon Greedy","X2",31.285945205,3,8
"game0","15","mate_in_3","0","White","800","Epsilon Greedy","X2",47.9601398649997,5,10
"game1","5","mate_in_3","0","White","800","Epsilon Greedy","X2",23.9238844910001,5,0
"game2","17","mate_in_3","0","White","800","Epsilon Greedy","X2",45.2321628670002,5,12
"game3","11","mate_in_3","0","White","800","Epsilon Greedy","X2",29.1274865099999,5,6
"game4","13","mate_in_3","0","White","800","Epsilon Greedy","X2",46.9727356440003,5,8
"game5","7","mate_in_3","0","White","800","Epsilon Greedy","X2",30.3079820550001,5,2
"game6","3","mate_in_3","0","White","800","Epsilon Greedy","X2",10.024772536,5,-2
"game7","20","mate_in_3","0","draw","800","Epsilon Greedy","X2",48.6487785539998,5,15
"game8","20","mate_in_3","0","draw","800","Epsilon Greedy","X2",46.0200686909998,5,15
"game9","7","mate_in_3","0","White","800","Epsilon Greedy","X2",27.3733770600002,5,2
"game10","15","mate_in_3","0","White","800","Epsilon Greedy","X2",47.6044939229996,5,10
"game11","7","mate_in_3","0","White","800","Epsilon Greedy","X2",48.4144370950007,5,2
"game12","20","mate_in_3","0","draw","800","Epsilon Greedy","X2",50.0261844930001,5,15
"game13","3","mate_in_3","0","White","800","Epsilon Greedy","X2",8.88177481799994,5,-2
"game14","11","mate_in_3","0","White","800","Epsilon Greedy","X2",37.3081813729996,5,6
"game0","3","mate_in_5","0","White","800","Epsilon Greedy","X2",8.17724820000058,9,-6
"game1","13","mate_in_5","0","White","800","Epsilon Greedy","X2",33.3304087280003,9,4
"game2","3","mate_in_5","0","White","800","Epsilon Greedy","X2",8.69778888900055,9,-6
"game3","3","mate_in_5","0","White","800","Epsilon Greedy","X2",7.7337299790006,9,-6
"game4","3","mate_in_5","0","White","800","Epsilon Greedy","X2",7.81300353699953,9,-6
"game5","3","mate_in_5","0","White","800","Epsilon Greedy","X2",8.71896323299916,9,-6
"game6","7","mate_in_5","0","White","800","Epsilon Greedy","X2",29.4629618479994,9,-2
"game7","11","mate_in_5","0","White","800","Epsilon Greedy","X2",44.3470777060002,9,2
"game8","9","mate_in_5","0","White","800","Epsilon Greedy","X2",13.5680449910005,9,0
"game9","11","mate_in_5","0","White","800","Epsilon Greedy","X2",37.3365217210003,9,2
"game10","15","mate_in_5","0","White","800","Epsilon Greedy","X2",21.451862594,9,6
"game11","3","mate_in_5","0","White","800","Epsilon Greedy","X2",8.80642316400008,9,-6
"game12","5","mate_in_5","0","White","800","Epsilon Greedy","X2",41.3065252260003,9,-4
"game13","5","mate_in_5","0","White","800","Epsilon Greedy","X2",25.4254541620003,9,-4
"game14","20","mate_in_5","0","draw","800","Epsilon Greedy","X2",25.6376312729999,9,11
"game0","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game1","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game2","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game3","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game4","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game5","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game6","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game7","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game8","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game9","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game10","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game11","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game12","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game13","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game14","1","mate_in_1","0","White","800","Epsilon Greedy","X3",0,1,0
"game0","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
"game1","20","mate_in_2","0","draw","800","Epsilon Greedy","X3",16.792989133,3,17
"game2","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
"game3","15","mate_in_2","0","White","800","Epsilon Greedy","X3",39.205679246,3,12
"game4","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
"game5","7","mate_in_2","0","White","800","Epsilon Greedy","X3",28.716075778,3,4
"game6","15","mate_in_2","0","White","800","Epsilon Greedy","X3",24.151522158,3,12
"game7","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
"game8","20","mate_in_2","0","draw","800","Epsilon Greedy","X3",40.16124776,3,17
"game9","13","mate_in_2","0","White","800","Epsilon Greedy","X3",38.2217351900001,3,10
"game10","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
"game11","20","mate_in_2","0","draw","800","Epsilon Greedy","X3",32.5329936590001,3,17
"game12","7","mate_in_2","0","White","800","Epsilon Greedy","X3",36.0469027229999,3,4
"game13","3","mate_in_2","0","White","800","Epsilon Greedy","X3",0,3,0
