"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game10","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.190121205,1,0
"game22","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.02731145900003,1,0
"game29","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.19619718600001,1,0
"game27","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.16957335999996,1,0
"game7","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.06860864200002,1,0
"game16","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.643663898,1,0
"game5","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.37600815799999,1,0
"game18","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.03297022299998,1,0
"game21","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.14706011800001,1,0
"game23","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.818560021,1,0
"game19","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.931014726,1,0
"game9","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.97882259900001,1,0
"game17","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.85621099900001,1,0
"game20","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.27498139100004,1,0
"game4","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.804200963,1,0
"game8","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.99303858300001,1,0
"game3","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.80380588699998,1,0
"game12","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.60967152000001,1,0
"game15","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.04512824599999,1,0
"game28","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.619702346,1,0
"game26","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.96089926100001,1,0
"game14","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.03251226999998,1,0
"game24","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.85080888700003,1,0
"game25","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.83141037299998,1,0
"game6","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.12046455000001,1,0
"game11","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.08168608099999,1,0
"game0","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.34850422,1,0
"game2","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",4.02918005199999,1,0
"game1","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.862478143,1,0
"game13","1","mate_in_1","1","White","1000","Epsilon Greedy","X1",3.886121355,1,0
"game10","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",52.9181848759999,3,0
"game22","17","mate_in_2","1","White","1000","Epsilon Greedy","X1",33.473773013,3,14
"game29","9","mate_in_2","1","White","1000","Epsilon Greedy","X1",52.1015187490002,3,6
"game27","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",39.7626784659997,3,0
"game7","13","mate_in_2","1","White","1000","Epsilon Greedy","X1",52.653145411,3,10
"game16","7","mate_in_2","1","White","1000","Epsilon Greedy","X1",53.153034639,3,4
"game5","13","mate_in_2","1","White","1000","Epsilon Greedy","X1",52.0084917269996,3,10
"game18","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",40.2927818180005,3,0
"game21","13","mate_in_2","1","White","1000","Epsilon Greedy","X1",38.2069493210001,3,10
"game23","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",31.740859857,3,2
"game19","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",18.2159313369993,3,0
"game9","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",32.6073130690002,3,0
"game17","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",23.2917228780007,3,0
"game20","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",29.244621582,3,0
"game4","11","mate_in_2","1","White","1000","Epsilon Greedy","X1",24.1266803440003,3,8
"game8","7","mate_in_2","1","White","1000","Epsilon Greedy","X1",53.1943320629998,3,4
"game3","20","mate_in_2","1","draw","1000","Epsilon Greedy","X1",22.2348780940001,3,17
"game12","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",53.0239147750008,3,2
"game15","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",39.8108814459993,3,2
"game28","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",51.6766093189999,3,2
"game26","9","mate_in_2","1","White","1000","Epsilon Greedy","X1",51.7177464669994,3,6
"game14","13","mate_in_2","1","White","1000","Epsilon Greedy","X1",28.5903187560007,3,10
"game24","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",39.0669934380003,3,2
"game25","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",23.5519728569998,3,0
"game6","5","mate_in_2","1","White","1000","Epsilon Greedy","X1",41.7579698569998,3,2
"game11","7","mate_in_2","1","White","1000","Epsilon Greedy","X1",54.0863853169994,3,4
"game0","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",32.2016346730002,3,0
"game2","3","mate_in_2","1","White","1000","Epsilon Greedy","X1",30.3913086929997,3,0
"game1","20","mate_in_2","1","draw","1000","Epsilon Greedy","X1",45.0769723509998,3,17
"game13","11","mate_in_2","1","White","1000","Epsilon Greedy","X1",52.3106902540003,3,8
"game10","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",56.7632826359986,9,11
"game22","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",25.877513125999,9,-6
"game29","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",27.7672732840001,9,-4
"game27","11","mate_in_5","0","White","1000","Epsilon Greedy","X1",20.8165671540009,9,2
"game7","11","mate_in_5","0","White","1000","Epsilon Greedy","X1",44.1151503189994,9,2
"game16","11","mate_in_5","0","White","1000","Epsilon Greedy","X1",44.918163893999,9,2
"game5","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",27.5037418740012,9,-6
"game18","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",32.6566923640003,9,-4
"game21","11","mate_in_5","0","White","1000","Epsilon Greedy","X1",41.8976985230001,9,2
"game23","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",33.9895840750014,9,11
"game19","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",62.1521745800001,9,-4
"game9","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",25.868100361,9,-6
"game17","15","mate_in_5","0","White","1000","Epsilon Greedy","X1",55.9598842320011,9,6
"game20","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",59.594983166,9,11
"game4","7","mate_in_5","0","White","1000","Epsilon Greedy","X1",28.4381956069992,9,-2
"game8","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",54.8068225959996,9,-6
"game3","9","mate_in_5","0","White","1000","Epsilon Greedy","X1",26.9875285129992,9,0
"game12","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",26.4343863800004,9,11
"game15","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",29.3622562190012,9,-4
"game28","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",45.4238579310004,9,-6
"game26","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",55.0010550419993,9,-6
"game14","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",34.8973892579997,9,-4
"game24","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",40.4131783030007,9,-4
"game25","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",49.6595691820003,9,-4
"game6","5","mate_in_5","0","White","1000","Epsilon Greedy","X1",53.4472698219997,9,-4
"game11","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",59.2205815859998,9,11
"game0","20","mate_in_5","0","draw","1000","Epsilon Greedy","X1",31.6440593049992,9,11
"game2","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",29.3464551090001,9,-6
"game1","3","mate_in_5","0","White","1000","Epsilon Greedy","X1",31.1374971340001,9,-6
"game13","11","mate_in_5","0","White","1000","Epsilon Greedy","X1",60.8628582459987,9,2
"game10","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",24.7671881300012,5,-2
"game22","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",48.6921304110001,5,0
"game29","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",60.2868393799981,5,0
"game27","13","mate_in_3","1","White","1000","Epsilon Greedy","X1",58.7919621159999,5,8
"game7","9","mate_in_3","1","White","1000","Epsilon Greedy","X1",58.9780320620011,5,4
"game16","20","mate_in_3","1","draw","1000","Epsilon Greedy","X1",57.4826067779977,5,15
"game5","7","mate_in_3","1","White","1000","Epsilon Greedy","X1",56.9437838680024,5,2
"game18","7","mate_in_3","1","White","1000","Epsilon Greedy","X1",37.8435213550001,5,2
"game21","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",41.2563023219991,5,-2
"game23","19","mate_in_3","1","White","1000","Epsilon Greedy","X1",60.8472475669987,5,14
"game19","19","mate_in_3","1","White","1000","Epsilon Greedy","X1",60.8783712549994,5,14
"game9","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",62.1014529489985,5,0
"game17","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",33.9100722900002,5,-2
"game20","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",25.7036282329973,5,-2
"game4","15","mate_in_3","1","White","1000","Epsilon Greedy","X1",61.3464827790012,5,10
"game8","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",60.283980614,5,0
"game3","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",28.006714004001,5,-2
"game12","9","mate_in_3","1","White","1000","Epsilon Greedy","X1",60.635268506001,5,4
"game15","7","mate_in_3","1","White","1000","Epsilon Greedy","X1",61.492775499999,5,2
"game28","20","mate_in_3","1","draw","1000","Epsilon Greedy","X1",58.0503871740002,5,15
"game26","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",23.0878594819987,5,-2
"game14","13","mate_in_3","1","White","1000","Epsilon Greedy","X1",61.4419537619979,5,8
"game24","11","mate_in_3","1","White","1000","Epsilon Greedy","X1",61.3026156259984,5,6
"game25","20","mate_in_3","1","draw","1000","Epsilon Greedy","X1",38.2486604009973,5,15
"game6","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",52.3163688690001,5,-2
"game11","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",59.8811080699998,5,0
"game0","5","mate_in_3","1","White","1000","Epsilon Greedy","X1",30.1736196860002,5,0
"game2","13","mate_in_3","1","White","1000","Epsilon Greedy","X1",59.8908765779997,5,8
"game1","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",42.2150850500002,5,-2
"game13","3","mate_in_3","1","White","1000","Epsilon Greedy","X1",59.0228427759976,5,-2
"game10","20","mate_in_4","0","draw","1000","Epsilon Greedy","X1",81.556506009998,7,13
"game22","7","mate_in_4","0","White","1000","Epsilon Greedy","X1",80.7149475709957,7,0
"game29","17","mate_in_4","0","White","1000","Epsilon Greedy","X1",80.7221654759996,7,10
