"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game0","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.835513052,1,0
"game1","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.521094749,1,0
"game2","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.991917963,1,0
"game3","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.580537476,1,0
"game4","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.425960112,1,0
"game5","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.56554403,1,0
"game6","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.631717541,1,0
"game7","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.465439384,1,0
"game8","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.703714493,1,0
"game9","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.717238214,1,0
"game10","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.553069959,1,0
"game11","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.625730238,1,0
"game12","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.372404337,1,0
"game13","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.814373517,1,0
"game14","1","mate_in_1","0","White","800","Thompson Sampling","X1",3.76440752800001,1,0
"game0","3","mate_in_2","0","White","800","Thompson Sampling","X1",40.219843464,3,0
"game1","7","mate_in_2","0","White","800","Thompson Sampling","X1",39.250961769,3,4
"game2","3","mate_in_2","0","White","800","Thompson Sampling","X1",39.517973241,3,0
"game3","20","mate_in_2","0","draw","800","Thompson Sampling","X1",39.669370822,3,17
"game4","13","mate_in_2","0","White","800","Thompson Sampling","X1",40.297077481,3,10
"game5","15","mate_in_2","0","White","800","Thompson Sampling","X1",41.823585281,3,12
"game6","20","mate_in_2","0","draw","800","Thompson Sampling","X1",40.277772616,3,17
"game7","19","mate_in_2","0","White","800","Thompson Sampling","X1",39.332446808,3,16
"game8","5","mate_in_2","0","White","800","Thompson Sampling","X1",38.7988334069998,3,2
"game9","3","mate_in_2","0","White","800","Thompson Sampling","X1",37.8908095239999,3,0
"game10","3","mate_in_2","0","White","800","Thompson Sampling","X1",40.1355162940004,3,0
"game11","3","mate_in_2","0","White","800","Thompson Sampling","X1",39.6969768220001,3,0
"game12","20","mate_in_2","0","draw","800","Thompson Sampling","X1",39.7195944499999,3,17
"game13","3","mate_in_2","0","White","800","Thompson Sampling","X1",39.8036201220002,3,0
"game14","3","mate_in_2","0","White","800","Thompson Sampling","X1",39.4226196760001,3,0
"game0","20","mate_in_3","0","draw","800","Thompson Sampling","X1",50.629234044,5,15
"game1","17","mate_in_3","0","White","800","Thompson Sampling","X1",51.0447201070001,5,12
"game2","11","mate_in_3","0","White","800","Thompson Sampling","X1",50.2978102510001,5,6
"game3","20","mate_in_3","0","draw","800","Thompson Sampling","X1",53.0814182399999,5,15
"game4","9","mate_in_3","0","White","800","Thompson Sampling","X1",50.7757536019999,5,4
"game5","20","mate_in_3","0","draw","800","Thompson Sampling","X1",52.0898084830005,5,15
"game6","7","mate_in_3","0","White","800","Thompson Sampling","X1",52.2643118259994,5,2
"game7","20","mate_in_3","0","draw","800","Thompson Sampling","X1",52.3156172759991,5,15
"game8","11","mate_in_3","0","White","800","Thompson Sampling","X1",53.5308844040001,5,6
"game9","5","mate_in_3","0","White","800","Thompson Sampling","X1",51.601087643,5,0
"game10","20","mate_in_3","0","draw","800","Thompson Sampling","X1",51.3785569659995,5,15
"game11","11","mate_in_3","0","White","800","Thompson Sampling","X1",53.5115844689999,5,6
"game12","20","mate_in_3","0","draw","800","Thompson Sampling","X1",50.8310363970004,5,15
"game13","5","mate_in_3","0","White","800","Thompson Sampling","X1",50.7452154050006,5,0
"game14","11","mate_in_3","0","White","800","Thompson Sampling","X1",50.1659641330007,5,6
"game0","5","mate_in_5","0","White","800","Thompson Sampling","X1",45.1813560110004,9,-4
"game1","7","mate_in_5","0","White","800","Thompson Sampling","X1",44.6932792879998,9,-2
"game2","20","mate_in_5","0","draw","800","Thompson Sampling","X1",45.8803861389997,9,11
"game3","3","mate_in_5","0","White","800","Thompson Sampling","X1",46.0477993910008,9,-6
"game4","13","mate_in_5","0","White","800","Thompson Sampling","X1",46.2842633749988,9,4
"game5","7","mate_in_5","0","White","800","Thompson Sampling","X1",46.3893895639994,9,-2
"game6","11","mate_in_5","0","White","800","Thompson Sampling","X1",48.6223958950013,9,2
"game7","9","mate_in_5","0","White","800","Thompson Sampling","X1",48.265254676,9,0
"game8","20","mate_in_5","0","draw","800","Thompson Sampling","X1",45.2981569089989,9,11
"game9","19","mate_in_5","0","White","800","Thompson Sampling","X1",46.4101187859997,9,10
"game10","20","mate_in_5","0","draw","800","Thompson Sampling","X1",45.5034842479999,9,11
"game11","7","mate_in_5","0","White","800","Thompson Sampling","X1",46.9784421919994,9,-2
"game12","11","mate_in_5","0","White","800","Thompson Sampling","X1",47.2512143759996,9,2
"game13","11","mate_in_5","0","White","800","Thompson Sampling","X1",47.4438907750009,9,2
"game14","20","mate_in_5","0","draw","800","Thompson Sampling","X1",47.2755725949992,9,11
"game0","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game1","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game2","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game3","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game4","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game5","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game6","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game7","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game8","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game9","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game10","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game11","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game12","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game13","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game14","1","mate_in_1","0","White","800","Thompson Sampling","X2",0,1,0
"game0","3","mate_in_2","0","White","800","Thompson Sampling","X2",5.459052728,3,0
"game1","7","mate_in_2","0","White","800","Thompson Sampling","X2",42.131892346,3,4
"game2","3","mate_in_2","0","White","800","Thompson Sampling","X2",7.70027196399997,3,0
"game3","20","mate_in_2","0","draw","800","Thompson Sampling","X2",38.455553124,3,17
"game4","13","mate_in_2","0","White","800","Thompson Sampling","X2",42.5370028670001,3,10
"game5","15","mate_in_2","0","White","800","Thompson Sampling","X2",40.0657905320001,3,12
"game6","20","mate_in_2","0","draw","800","Thompson Sampling","X2",40.2970754309999,3,17
"game7","19","mate_in_2","0","White","800","Thompson Sampling","X2",41.4643872439999,3,16
"game8","5","mate_in_2","0","White","800","Thompson Sampling","X2",40.6794212140003,3,2
"game9","3","mate_in_2","0","White","800","Thompson Sampling","X2",4.68986747400004,3,0
"game10","3","mate_in_2","0","White","800","Thompson Sampling","X2",6.93547825299993,3,0
"game11","3","mate_in_2","0","White","800","Thompson Sampling","X2",6.90445598800034,3,0
"game12","20","mate_in_2","0","draw","800","Thompson Sampling","X2",43.1335271069997,3,17
"game13","3","mate_in_2","0","White","800","Thompson Sampling","X2",7.22720005700012,3,0
"game14","3","mate_in_2","0","White","800","Thompson Sampling","X2",7.8459806740002,3,0
"game0","20","mate_in_3","0","draw","800","Thompson Sampling","X2",50.4395932110001,5,15
"game1","17","mate_in_3","0","White","800","Thompson Sampling","X2",50.7300127520002,5,12
"game2","11","mate_in_3","0","White","800","Thompson Sampling","X2",49.8861057150002,5,6
"game3","20","mate_in_3","0","draw","800","Thompson Sampling","X2",51.1821272080001,5,15
"game4","9","mate_in_3","0","White","800","Thompson Sampling","X2",50.531958824,5,4
"game5","20","mate_in_3","0","draw","800","Thompson Sampling","X2",52.0192059809997,5,15
"game6","7","mate_in_3","0","White","800","Thompson Sampling","X2",49.8690916119995,5,2
"game7","20","mate_in_3","0","draw","800","Thompson Sampling","X2",51.5284789580001,5,15
"game8","11","mate_in_3","0","White","800","Thompson Sampling","X2",50.4269221840004,5,6
"game9","5","mate_in_3","0","White","800","Thompson Sampling","X2",52.3033474329995,5,0
"game10","20","mate_in_3","0","draw","800","Thompson Sampling","X2",50.8258886739995,5,15
"game11","11","mate_in_3","0","White","800","Thompson Sampling","X2",51.5580813890001,5,6
"game12","20","mate_in_3","0","draw","800","Thompson Sampling","X2",52.1173893160003,5,15
"game13","5","mate_in_3","0","White","800","Thompson Sampling","X2",47.2769108829998,5,0
"game14","11","mate_in_3","0","White","800","Thompson Sampling","X2",51.6421459160001,5,6
"game0","5","mate_in_5","0","White","800","Thompson Sampling","X2",42.3196774500002,9,-4
"game1","7","mate_in_5","0","White","800","Thompson Sampling","X2",45.835441923,9,-2
"game2","20","mate_in_5","0","draw","800","Thompson Sampling","X2",47.8713635620006,9,11
"game3","3","mate_in_5","0","White","800","Thompson Sampling","X2",7.08474364899848,9,-6
"game4","13","mate_in_5","0","White","800","Thompson Sampling","X2",45.5178709810007,9,4
"game5","7","mate_in_5","0","White","800","Thompson Sampling","X2",47.6945579600015,9,-2
"game6","11","mate_in_5","0","White","800","Thompson Sampling","X2",45.2636599380003,9,2
"game7","9","mate_in_5","0","White","800","Thompson Sampling","X2",48.2149057130009,9,0
"game8","20","mate_in_5","0","draw","800","Thompson Sampling","X2",47.5619735130003,9,11
"game9","19","mate_in_5","0","White","800","Thompson Sampling","X2",44.5699448790001,9,10
"game10","20","mate_in_5","0","draw","800","Thompson Sampling","X2",47.6457248280003,9,11
"game11","7","mate_in_5","0","White","800","Thompson Sampling","X2",43.843026098999,9,-2
"game12","11","mate_in_5","0","White","800","Thompson Sampling","X2",46.9708478030007,9,2
"game13","11","mate_in_5","0","White","800","Thompson Sampling","X2",44.9046982889995,9,2
"game14","20","mate_in_5","0","draw","800","Thompson Sampling","X2",45.3980068059991,9,11
"game0","1","mate_in_1","0","White","800","Thompson Sampling","X3",0,1,0
"game1","1","mate_in_1","0","White","800","Thompson Sampling","X3",0,1,0
"game2","1","mate_in_1","0","White","800","Thompson Sampling","X3",0,1,0
"game3","1","mate_in_1","0","White","800","Thompson Sampling","X3",0,1,0
"game4","1","mate_in_1","0","White","800","Thompson Sampling","X3",0,1,0
