"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game0","1","mate_in_1","0","White","800","UCB","X1",2.808228661,1,0
"game1","1","mate_in_1","0","White","800","UCB","X1",2.543573468,1,0
"game2","1","mate_in_1","0","White","800","UCB","X1",2.60130013,1,0
"game3","1","mate_in_1","0","White","800","UCB","X1",2.576898797,1,0
"game4","1","mate_in_1","0","White","800","UCB","X1",2.599606951,1,0
"game5","1","mate_in_1","0","White","800","UCB","X1",2.790491395,1,0
"game6","1","mate_in_1","0","White","800","UCB","X1",2.586749536,1,0
"game7","1","mate_in_1","0","White","800","UCB","X1",2.654756669,1,0
"game8","1","mate_in_1","0","White","800","UCB","X1",2.646512006,1,0
"game9","1","mate_in_1","0","White","800","UCB","X1",2.671569425,1,0
"game10","1","mate_in_1","0","White","800","UCB","X1",2.673647049,1,0
"game11","1","mate_in_1","0","White","800","UCB","X1",2.57755047,1,0
"game12","1","mate_in_1","0","White","800","UCB","X1",2.767716465,1,0
"game13","1","mate_in_1","0","White","800","UCB","X1",2.55687654699999,1,0
"game14","1","mate_in_1","0","White","800","UCB","X1",2.669727006,1,0
"game0","11","mate_in_2","0","White","800","UCB","X1",35.879824262,3,8
"game1","20","mate_in_2","0","draw","800","UCB","X1",11.465927869,3,17
"game2","3","mate_in_2","0","White","800","UCB","X1",13.139165191,3,0
"game3","3","mate_in_2","0","White","800","UCB","X1",19.496386529,3,0
"game4","3","mate_in_2","0","White","800","UCB","X1",7.30048859200002,3,0
"game5","5","mate_in_2","0","White","800","UCB","X1",11.9074869889999,3,2
"game6","16","mate_in_2","0","Black","800","UCB","X1",9.83635006899999,3,13
"game7","9","mate_in_2","0","White","800","UCB","X1",12.337748487,3,6
"game8","20","mate_in_2","0","draw","800","UCB","X1",17.849151786,3,17
"game9","11","mate_in_2","0","White","800","UCB","X1",14.305420806,3,8
"game10","20","mate_in_2","0","draw","800","UCB","X1",14.307407208,3,17
"game11","7","mate_in_2","0","White","800","UCB","X1",19.8317074409999,3,4
"game12","5","mate_in_2","0","White","800","UCB","X1",11.1046024110001,3,2
"game13","7","mate_in_2","0","White","800","UCB","X1",12.7024766669999,3,4
"game14","5","mate_in_2","0","White","800","UCB","X1",15.0269874819999,3,2
"game0","20","mate_in_3","0","draw","800","UCB","X1",48.5530191339999,5,15
"game1","13","mate_in_3","0","White","800","UCB","X1",13.3485948970001,5,8
"game2","20","mate_in_3","0","draw","800","UCB","X1",50.9151075889999,5,15
"game3","17","mate_in_3","0","White","800","UCB","X1",12.7721324620002,5,12
"game4","20","mate_in_3","0","draw","800","UCB","X1",52.3443316999997,5,15
"game5","5","mate_in_3","0","White","800","UCB","X1",8.69847957000002,5,0
"game6","9","mate_in_3","0","White","800","UCB","X1",49.374355035,5,4
"game7","17","mate_in_3","0","White","800","UCB","X1",22.271905955,5,12
"game8","19","mate_in_3","0","White","800","UCB","X1",50.7849206670003,5,14
"game9","19","mate_in_3","0","White","800","UCB","X1",50.4364237469999,5,14
"game10","20","mate_in_3","0","draw","800","UCB","X1",17.8418976509997,5,15
"game11","20","mate_in_3","0","draw","800","UCB","X1",50.6325586050007,5,15
"game12","20","mate_in_3","0","draw","800","UCB","X1",37.6586829359994,5,15
"game13","3","mate_in_3","0","White","800","UCB","X1",34.48019355,5,-2
"game14","20","mate_in_3","0","draw","800","UCB","X1",50.6730199799995,5,15
"game0","3","mate_in_5","0","White","800","UCB","X1",13.1250955239993,9,-6
"game1","3","mate_in_5","0","White","800","UCB","X1",10.7822920200006,9,-6
"game2","20","mate_in_5","0","draw","800","UCB","X1",32.9426664080002,9,11
"game3","7","mate_in_5","0","White","800","UCB","X1",25.1160979340002,9,-2
"game4","20","mate_in_5","0","draw","800","UCB","X1",26.3716976109999,9,11
"game5","11","mate_in_5","0","White","800","UCB","X1",28.549978344,9,2
"game6","3","mate_in_5","0","White","800","UCB","X1",13.9415750669996,9,-6
"game7","13","mate_in_5","0","White","800","UCB","X1",32.5443046229993,9,4
"game8","7","mate_in_5","0","White","800","UCB","X1",46.7730715770003,9,-2
"game9","13","mate_in_5","0","White","800","UCB","X1",14.5924585590001,9,4
"game10","7","mate_in_5","0","White","800","UCB","X1",20.9119472779994,9,-2
"game11","3","mate_in_5","0","White","800","UCB","X1",31.8178340310005,9,-6
"game12","3","mate_in_5","0","White","800","UCB","X1",14.2990443230001,9,-6
"game13","11","mate_in_5","0","White","800","UCB","X1",40.4273934160001,9,2
"game14","9","mate_in_5","0","White","800","UCB","X1",20.8515448470007,9,0
"game0","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game1","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game2","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game3","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game4","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game5","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game6","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game7","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game8","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game9","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game10","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game11","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game12","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game13","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game14","1","mate_in_1","0","White","800","UCB","X2",0,1,0
"game0","11","mate_in_2","0","White","800","UCB","X2",27.282957318,3,8
"game1","20","mate_in_2","0","draw","800","UCB","X2",8.07392585600002,3,17
"game2","3","mate_in_2","0","White","800","UCB","X2",4.343438042,3,0
"game3","3","mate_in_2","0","White","800","UCB","X2",4.45596710699999,3,0
"game4","3","mate_in_2","0","White","800","UCB","X2",3.18550903099998,3,0
"game5","5","mate_in_2","0","White","800","UCB","X2",6.31330787999997,3,2
"game6","16","mate_in_2","0","Black","800","UCB","X2",11.106994328,3,13
"game7","9","mate_in_2","0","White","800","UCB","X2",9.99714948500002,3,6
"game8","20","mate_in_2","0","draw","800","UCB","X2",16.386996099,3,17
"game9","11","mate_in_2","0","White","800","UCB","X2",14.307447173,3,8
"game10","20","mate_in_2","0","draw","800","UCB","X2",25.7792991729999,3,17
"game11","7","mate_in_2","0","White","800","UCB","X2",16.0492744849998,3,4
"game12","5","mate_in_2","0","White","800","UCB","X2",12.2689470360001,3,2
"game13","7","mate_in_2","0","White","800","UCB","X2",14.4213121299999,3,4
"game14","5","mate_in_2","0","White","800","UCB","X2",8.72716088199991,3,2
"game0","20","mate_in_3","0","draw","800","UCB","X2",48.8226121750001,5,15
"game1","13","mate_in_3","0","White","800","UCB","X2",50.8325739900001,5,8
"game2","20","mate_in_3","0","draw","800","UCB","X2",51.038890198,5,15
"game3","17","mate_in_3","0","White","800","UCB","X2",22.0325451889998,5,12
"game4","20","mate_in_3","0","draw","800","UCB","X2",51.7838217930002,5,15
"game5","5","mate_in_3","0","White","800","UCB","X2",8.73938447099999,5,0
"game6","9","mate_in_3","0","White","800","UCB","X2",46.549270129,5,4
"game7","17","mate_in_3","0","White","800","UCB","X2",25.1765531880001,5,12
"game8","19","mate_in_3","0","White","800","UCB","X2",47.95241549,5,14
"game9","19","mate_in_3","0","White","800","UCB","X2",49.8237120520002,5,14
"game10","20","mate_in_3","0","draw","800","UCB","X2",29.8162212319999,5,15
"game11","20","mate_in_3","0","draw","800","UCB","X2",45.4137376619992,5,15
"game12","20","mate_in_3","0","draw","800","UCB","X2",11.5558258379997,5,15
"game13","3","mate_in_3","0","White","800","UCB","X2",4.9241173370001,5,-2
"game14","20","mate_in_3","0","draw","800","UCB","X2",49.8175567730004,5,15
"game0","3","mate_in_5","0","White","800","UCB","X2",4.77774404499996,9,-6
"game1","3","mate_in_5","0","White","800","UCB","X2",4.47149006200016,9,-6
"game2","20","mate_in_5","0","draw","800","UCB","X2",16.5896297729996,9,11
"game3","7","mate_in_5","0","White","800","UCB","X2",13.2043156110003,9,-2
"game4","20","mate_in_5","0","draw","800","UCB","X2",13.8069633229998,9,11
"game5","11","mate_in_5","0","White","800","UCB","X2",32.7233572929999,9,2
"game6","3","mate_in_5","0","White","800","UCB","X2",4.4366237410004,9,-6
"game7","13","mate_in_5","0","White","800","UCB","X2",21.0418151900003,9,4
"game8","7","mate_in_5","0","White","800","UCB","X2",11.2648404969996,9,-2
"game9","13","mate_in_5","0","White","800","UCB","X2",11.9789843210001,9,4
"game10","7","mate_in_5","0","White","800","UCB","X2",21.3323307850005,9,-2
"game11","3","mate_in_5","0","White","800","UCB","X2",4.57249875499929,9,-6
"game12","3","mate_in_5","0","White","800","UCB","X2",4.51426651499969,9,-6
"game13","11","mate_in_5","0","White","800","UCB","X2",39.6778008069996,9,2
"game14","9","mate_in_5","0","White","800","UCB","X2",22.4807989169994,9,0
"game0","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game1","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game2","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game3","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game4","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game5","1","mate_in_1","0","White","800","UCB","X3",0,1,0
"game6","1","mate_in_1","0","White","800","UCB","X3",0,1,0
