"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game2","9","mate_in_3","1","White","1000","UCB","X1",49.6356432579996,5,4
"game13","3","mate_in_3","1","White","1000","UCB","X1",52.4536212359999,5,-2
"game8","9","mate_in_3","1","White","1000","UCB","X1",50.2245494130002,5,4
"game9","11","mate_in_3","1","White","1000","UCB","X1",50.3663721410003,5,6
"game6","3","mate_in_3","1","White","1000","UCB","X1",51.1826923510007,5,-2
"game1","15","mate_in_3","1","White","1000","UCB","X1",51.730214876,5,10
"game5","5","mate_in_3","1","White","1000","UCB","X1",49.5719783560007,5,0
"game14","5","mate_in_3","1","White","1000","UCB","X1",50.6695063809984,5,0
"game4","5","mate_in_3","1","White","1000","UCB","X1",49.0963014979998,5,0
"game12","5","mate_in_3","1","White","1000","UCB","X1",48.3055076029996,5,0
"game0","5","mate_in_3","1","White","1000","UCB","X1",49.860040822,5,0
"game7","5","mate_in_3","1","White","1000","UCB","X1",50.8768685630002,5,0
"game10","13","mate_in_3","1","White","1000","UCB","X1",51.8392808420003,5,8
"game17","7","mate_in_3","1","White","1000","UCB","X1",52.3674955330007,5,2
"game19","7","mate_in_3","1","White","1000","UCB","X1",48.9115740279994,5,2
"game16","5","mate_in_3","1","White","1000","UCB","X1",50.5160389370012,5,0
"game11","9","mate_in_3","1","White","1000","UCB","X1",49.6266378709988,5,4
"game18","9","mate_in_3","1","White","1000","UCB","X1",51.1699064479999,5,4
"game15","5","mate_in_3","1","White","1000","UCB","X1",48.4843346300004,5,0
"game3","5","mate_in_3","1","White","1000","UCB","X1",49.5488109879998,5,0
"game2","1","mate_in_1","1","White","1000","UCB","X1",2.05507732799924,1,0
"game13","1","mate_in_1","1","White","1000","UCB","X1",2.25384896600008,1,0
"game8","1","mate_in_1","1","White","1000","UCB","X1",2.05732315299974,1,0
"game9","1","mate_in_1","1","White","1000","UCB","X1",2.0396719069995,1,0
"game6","1","mate_in_1","1","White","1000","UCB","X1",2.0685380649993,1,0
"game1","1","mate_in_1","1","White","1000","UCB","X1",1.99857707100091,1,0
"game5","1","mate_in_1","1","White","1000","UCB","X1",1.98558327699902,1,0
"game14","1","mate_in_1","1","White","1000","UCB","X1",2.16206184099974,1,0
"game4","1","mate_in_1","1","White","1000","UCB","X1",2.04225277700061,1,0
"game12","1","mate_in_1","1","White","1000","UCB","X1",2.19877217099929,1,0
"game0","1","mate_in_1","1","White","1000","UCB","X1",2.13298411899996,1,0
"game7","1","mate_in_1","1","White","1000","UCB","X1",2.19197937900026,1,0
"game10","1","mate_in_1","1","White","1000","UCB","X1",2.18754961999912,1,0
"game17","1","mate_in_1","1","White","1000","UCB","X1",2.10685896999894,1,0
"game19","1","mate_in_1","1","White","1000","UCB","X1",2.53242682000018,1,0
"game16","1","mate_in_1","1","White","1000","UCB","X1",2.4218694329993,1,0
"game11","1","mate_in_1","1","White","1000","UCB","X1",2.29047564899884,1,0
"game18","1","mate_in_1","1","White","1000","UCB","X1",2.24631158000011,1,0
"game15","1","mate_in_1","1","White","1000","UCB","X1",2.07052040099916,1,0
"game3","1","mate_in_1","1","White","1000","UCB","X1",2.16818328100089,1,0
"game2","7","mate_in_5","0","White","1000","UCB","X1",50.1670771639983,9,-2
"game13","5","mate_in_5","0","White","1000","UCB","X1",50.7028581089999,9,-4
"game8","20","mate_in_5","0","draw","1000","UCB","X1",49.8577787880004,9,11
"game9","19","mate_in_5","0","White","1000","UCB","X1",52.1693509889992,9,10
"game6","7","mate_in_5","0","White","1000","UCB","X1",52.3989257409994,9,-2
"game1","13","mate_in_5","0","White","1000","UCB","X1",51.7708967209983,9,4
"game5","3","mate_in_5","0","White","1000","UCB","X1",49.9019020110009,9,-6
"game14","5","mate_in_5","0","White","1000","UCB","X1",50.9767317980004,9,-4
"game4","3","mate_in_5","0","White","1000","UCB","X1",50.707587633,9,-6
"game12","5","mate_in_5","0","White","1000","UCB","X1",50.0007424479991,9,-4
"game0","3","mate_in_5","0","White","1000","UCB","X1",51.6511036569991,9,-6
"game7","3","mate_in_5","0","White","1000","UCB","X1",53.1515641730002,9,-6
"game10","3","mate_in_5","0","White","1000","UCB","X1",51.9882800220003,9,-6
"game17","20","mate_in_5","0","draw","1000","UCB","X1",51.7368681059997,9,11
"game19","5","mate_in_5","0","White","1000","UCB","X1",52.5716497009998,9,-4
"game16","3","mate_in_5","0","White","1000","UCB","X1",51.6431823479998,9,-6
"game11","11","mate_in_5","0","White","1000","UCB","X1",50.17996528,9,2
"game18","20","mate_in_5","0","draw","1000","UCB","X1",50.9969139290006,9,11
"game15","7","mate_in_5","0","White","1000","UCB","X1",51.3431370569997,9,-2
"game3","20","mate_in_5","0","draw","1000","UCB","X1",50.2430918270002,9,11
"game2","9","mate_in_2","1","White","1000","UCB","X1",44.6932025370006,3,6
"game13","5","mate_in_2","1","White","1000","UCB","X1",46.0333342560007,3,2
