"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game28","20","mate_in_4","0","draw","1000","UCB","X1",84.0248145059995,7,13
"game0","20","mate_in_4","0","draw","1000","UCB","X1",85.099366404,7,13
"game14","20","mate_in_4","0","draw","1000","UCB","X1",83.8861789029997,7,13
"game23","20","mate_in_4","0","draw","1000","UCB","X1",81.9791852969993,7,13
"game5","20","mate_in_4","0","draw","1000","UCB","X1",80.7003068440004,7,13
"game12","20","mate_in_4","0","draw","1000","UCB","X1",83.2510852489995,7,13
"game3","17","mate_in_4","0","White","1000","UCB","X1",85.653509538,7,10
"game26","20","mate_in_4","0","draw","1000","UCB","X1",81.5726066690004,7,13
"game29","20","mate_in_4","0","draw","1000","UCB","X1",80.5051360790021,7,13
"game10","20","mate_in_4","0","draw","1000","UCB","X1",82.8424311710005,7,13
"game13","20","mate_in_4","0","draw","1000","UCB","X1",83.4611980650006,7,13
"game11","20","mate_in_4","0","draw","1000","UCB","X1",83.8435336299999,7,13
"game19","20","mate_in_4","0","draw","1000","UCB","X1",81.8984671859998,7,13
"game8","20","mate_in_4","0","draw","1000","UCB","X1",80.8057174979995,7,13
"game1","20","mate_in_4","0","draw","1000","UCB","X1",80.433246199,7,13
"game22","15","mate_in_4","0","White","1000","UCB","X1",81.5961377790009,7,8
"game16","20","mate_in_4","0","draw","1000","UCB","X1",84.250959396999,7,13
"game4","20","mate_in_4","0","draw","1000","UCB","X1",82.6530991720001,7,13
"game24","20","mate_in_4","0","draw","1000","UCB","X1",85.785079764999,7,13
"game25","20","mate_in_4","0","draw","1000","UCB","X1",82.969231223,7,13
"game21","20","mate_in_4","0","draw","1000","UCB","X1",85.363153626,7,13
"game17","20","mate_in_4","0","draw","1000","UCB","X1",84.5252505669996,7,13
"game18","20","mate_in_4","0","draw","1000","UCB","X1",84.3616298859997,7,13
"game27","20","mate_in_4","0","draw","1000","UCB","X1",82.7802585629979,7,13
"game20","20","mate_in_4","0","draw","1000","UCB","X1",72.9270746399998,7,13
"game9","20","mate_in_4","0","draw","1000","UCB","X1",80.8646448580002,7,13
"game7","11","mate_in_4","0","White","1000","UCB","X1",24.8108983350003,7,4
"game2","20","mate_in_4","0","draw","1000","UCB","X1",84.6823143919999,7,13
"game15","20","mate_in_4","0","draw","1000","UCB","X1",80.837289051,7,13
"game6","20","mate_in_4","0","draw","1000","UCB","X1",81.8128948629997,7,13
"game28","1","mate_in_1","1","White","1000","UCB","X1",0.920044079000945,1,0
"game0","1","mate_in_1","1","White","1000","UCB","X1",0.934638069000357,1,0
"game14","1","mate_in_1","1","White","1000","UCB","X1",0.858829190001416,1,0
"game23","1","mate_in_1","1","White","1000","UCB","X1",0.986363965999772,1,0
"game5","1","mate_in_1","1","White","1000","UCB","X1",1.0153681619995,1,0
"game12","1","mate_in_1","1","White","1000","UCB","X1",1.0710880589977,1,0
"game3","1","mate_in_1","1","White","1000","UCB","X1",0.80055460800213,1,0
"game26","1","mate_in_1","1","White","1000","UCB","X1",0.942101890999766,1,0
"game29","1","mate_in_1","1","White","1000","UCB","X1",0.885304200000974,1,0
"game10","1","mate_in_1","1","White","1000","UCB","X1",0.832574103002116,1,0
"game13","1","mate_in_1","1","White","1000","UCB","X1",0.904147768000257,1,0
"game11","1","mate_in_1","1","White","1000","UCB","X1",0.959954089001258,1,0
"game19","1","mate_in_1","1","White","1000","UCB","X1",0.894138160001603,1,0
"game8","1","mate_in_1","1","White","1000","UCB","X1",0.932652964002045,1,0
"game1","1","mate_in_1","1","White","1000","UCB","X1",0.935268831999565,1,0
"game22","1","mate_in_1","1","White","1000","UCB","X1",0.931254355000419,1,0
"game16","1","mate_in_1","1","White","1000","UCB","X1",0.928299376999348,1,0
"game4","1","mate_in_1","1","White","1000","UCB","X1",0.952700162000838,1,0
"game24","1","mate_in_1","1","White","1000","UCB","X1",0.92914304200167,1,0
"game25","1","mate_in_1","1","White","1000","UCB","X1",0.827840835001552,1,0
"game21","1","mate_in_1","1","White","1000","UCB","X1",0.925258401002793,1,0
"game17","1","mate_in_1","1","White","1000","UCB","X1",0.870391528002074,1,0
"game18","1","mate_in_1","1","White","1000","UCB","X1",0.873630879999837,1,0
"game27","1","mate_in_1","1","White","1000","UCB","X1",0.937155768999219,1,0
"game20","1","mate_in_1","1","White","1000","UCB","X1",0.906884616000752,1,0
"game9","1","mate_in_1","1","White","1000","UCB","X1",1.0306637499998,1,0
"game7","1","mate_in_1","1","White","1000","UCB","X1",0.990544971002237,1,0
"game2","1","mate_in_1","1","White","1000","UCB","X1",0.949563348000083,1,0
"game15","1","mate_in_1","1","White","1000","UCB","X1",0.879891798002063,1,0
"game6","1","mate_in_1","1","White","1000","UCB","X1",0.938628787000198,1,0
"game28","3","mate_in_3","1","White","1000","UCB","X1",13.559312944999,5,-2
"game0","15","mate_in_3","1","White","1000","UCB","X1",34.3479422620003,5,10
"game14","20","mate_in_3","1","draw","1000","UCB","X1",24.8121730440034,5,15
"game23","9","mate_in_3","1","White","1000","UCB","X1",19.8174179630005,5,4
"game5","13","mate_in_3","1","White","1000","UCB","X1",27.3366357510022,5,8
"game12","20","mate_in_3","1","draw","1000","UCB","X1",31.0691145400051,5,15
"game3","15","mate_in_3","1","White","1000","UCB","X1",15.6470031160061,5,10
"game26","3","mate_in_3","1","White","1000","UCB","X1",9.24856705799903,5,-2
"game29","20","mate_in_3","1","draw","1000","UCB","X1",63.5988359039984,5,15
"game10","20","mate_in_3","1","draw","1000","UCB","X1",49.1904315640058,5,15
"game13","20","mate_in_3","1","draw","1000","UCB","X1",63.5996828619973,5,15
"game11","20","mate_in_3","1","draw","1000","UCB","X1",46.3933666219964,5,15
"game19","20","mate_in_3","1","draw","1000","UCB","X1",33.9878142640009,5,15
"game8","5","mate_in_3","1","White","1000","UCB","X1",13.3242943829973,5,0
"game1","20","mate_in_3","1","draw","1000","UCB","X1",42.0227491600017,5,15
"game22","9","mate_in_3","1","White","1000","UCB","X1",62.8744829610005,5,4
"game16","13","mate_in_3","1","White","1000","UCB","X1",58.3508738529999,5,8
"game4","7","mate_in_3","1","White","1000","UCB","X1",9.81941194799583,5,2
"game24","7","mate_in_3","1","White","1000","UCB","X1",64.1840081009941,5,2
"game25","7","mate_in_3","1","White","1000","UCB","X1",37.8700256329976,5,2
"game21","20","mate_in_3","1","draw","1000","UCB","X1",38.2370255600035,5,15
"game17","13","mate_in_3","1","White","1000","UCB","X1",21.8696663189985,5,8
"game18","9","mate_in_3","1","White","1000","UCB","X1",44.7700445450027,5,4
"game27","3","mate_in_3","1","White","1000","UCB","X1",5.79719572099566,5,-2
"game20","20","mate_in_3","1","draw","1000","UCB","X1",11.4984237040044,5,15
"game9","17","mate_in_3","1","White","1000","UCB","X1",60.200930017003,5,12
"game7","9","mate_in_3","1","White","1000","UCB","X1",10.901882705999,5,4
"game2","15","mate_in_3","1","White","1000","UCB","X1",26.7777851380015,5,10
"game15","20","mate_in_3","1","draw","1000","UCB","X1",62.1966645960056,5,15
"game6","11","mate_in_3","1","White","1000","UCB","X1",20.4519291050019,5,6
"game28","20","mate_in_5","0","draw","1000","UCB","X1",61.0699340010033,9,11
"game0","3","mate_in_5","0","White","1000","UCB","X1",11.1983984239996,9,-6
"game14","9","mate_in_5","0","White","1000","UCB","X1",13.3112641059997,9,0
"game23","13","mate_in_5","0","White","1000","UCB","X1",51.8072468509999,9,4
"game5","5","mate_in_5","0","White","1000","UCB","X1",19.4615963949982,9,-4
"game12","20","mate_in_5","0","draw","1000","UCB","X1",31.278868418005,9,11
"game3","5","mate_in_5","0","White","1000","UCB","X1",38.3391438340041,9,-4
"game26","19","mate_in_5","0","White","1000","UCB","X1",17.184892751,9,10
"game29","20","mate_in_5","0","draw","1000","UCB","X1",62.6388464119955,9,11
"game10","20","mate_in_5","0","draw","1000","UCB","X1",34.1853116470011,9,11
"game13","7","mate_in_5","0","White","1000","UCB","X1",47.4877637980026,9,-2
"game11","20","mate_in_5","0","draw","1000","UCB","X1",14.5541588370033,9,11
"game19","20","mate_in_5","0","draw","1000","UCB","X1",69.9309295179992,9,11
"game8","3","mate_in_5","0","White","1000","UCB","X1",17.8461983460002,9,-6
"game1","20","mate_in_5","0","draw","1000","UCB","X1",64.8488747989977,9,11
"game22","3","mate_in_5","0","White","1000","UCB","X1",10.4427395879975,9,-6
"game16","15","mate_in_5","0","White","1000","UCB","X1",28.8171266999998,9,6
"game4","20","mate_in_5","0","draw","1000","UCB","X1",11.2585531709992,9,11
"game24","9","mate_in_5","0","White","1000","UCB","X1",33.119775015999,9,0
"game25","15","mate_in_5","0","White","1000","UCB","X1",16.5554813530034,9,6
"game21","20","mate_in_5","0","draw","1000","UCB","X1",14.1493986629939,9,11
"game17","20","mate_in_5","0","draw","1000","UCB","X1",51.574767484999,9,11
"game18","20","mate_in_5","0","draw","1000","UCB","X1",17.6405877799989,9,11
"game27","7","mate_in_5","0","White","1000","UCB","X1",27.6400950749958,9,-2
"game20","7","mate_in_5","0","White","1000","UCB","X1",54.9080642389963,9,-2
"game9","20","mate_in_5","0","draw","1000","UCB","X1",32.0466871559984,9,11
"game7","5","mate_in_5","0","White","1000","UCB","X1",22.7315756820026,9,-4
"game2","7","mate_in_5","0","White","1000","UCB","X1",20.0676735540037,9,-2
"game15","13","mate_in_5","0","White","1000","UCB","X1",28.2538494440014,9,4
"game6","20","mate_in_5","0","draw","1000","UCB","X1",22.3607030519997,9,11
"game28","20","mate_in_2","1","draw","1000","UCB","X1",19.6079830180024,3,17
"game0","20","mate_in_2","1","draw","1000","UCB","X1",39.766076316002,3,17
"game14","15","mate_in_2","1","White","1000","UCB","X1",23.1633162860016,3,12
"game23","20","mate_in_2","1","draw","1000","UCB","X1",20.9941508949996,3,17
"game5","11","mate_in_2","1","White","1000","UCB","X1",40.1861485379995,3,8
"game12","20","mate_in_2","1","draw","1000","UCB","X1",42.228227645006,3,17
"game3","20","mate_in_2","1","draw","1000","UCB","X1",10.8878131370002,3,17
"game26","15","mate_in_2","1","White","1000","UCB","X1",12.3026550150025,3,12
"game29","13","mate_in_2","1","White","1000","UCB","X1",54.1589810799996,3,10
"game10","20","mate_in_2","1","draw","1000","UCB","X1",52.3889846149978,3,17
"game13","20","mate_in_2","1","draw","1000","UCB","X1",17.0931396239976,3,17
"game11","5","mate_in_2","1","White","1000","UCB","X1",22.2266870710009,3,2
"game19","13","mate_in_2","1","White","1000","UCB","X1",40.8125459930015,3,10
"game8","20","mate_in_2","1","draw","1000","UCB","X1",20.489895601997,3,17
"game1","5","mate_in_2","1","White","1000","UCB","X1",33.4465840779958,3,2
"game22","20","mate_in_2","1","draw","1000","UCB","X1",11.7776081560005,3,17
"game16","20","mate_in_2","1","draw","1000","UCB","X1",48.3830942019995,3,17
"game4","11","mate_in_2","1","White","1000","UCB","X1",9.51824669599591,3,8
"game24","3","mate_in_2","1","White","1000","UCB","X1",21.5649998730005,3,0
"game25","3","mate_in_2","1","White","1000","UCB","X1",33.1267685209968,3,0
"game21","20","mate_in_2","1","draw","1000","UCB","X1",39.3493198800061,3,17
"game17","7","mate_in_2","1","White","1000","UCB","X1",54.738745497998,3,4
"game18","5","mate_in_2","1","White","1000","UCB","X1",27.6525165200001,3,2
"game27","19","mate_in_2","1","White","1000","UCB","X1",14.7488014639966,3,16
"game20","17","mate_in_2","1","White","1000","UCB","X1",20.0593867909993,3,14
"game9","3","mate_in_2","1","White","1000","UCB","X1",36.8700921169948,3,0
"game7","20","mate_in_2","1","draw","1000","UCB","X1",27.5356793210012,3,17
"game2","3","mate_in_2","1","White","1000","UCB","X1",54.5813235430032,3,0
"game15","20","mate_in_2","1","draw","1000","UCB","X1",24.1197554329992,3,17
"game6","20","mate_in_2","1","draw","1000","UCB","X1",55.3006896269944,3,17
"game28","20","mate_in_4","0","draw","1000","UCB","X2",47.2217376869994,7,13
"game0","20","mate_in_4","0","draw","1000","UCB","X2",83.765146359,7,13
"game14","20","mate_in_4","0","draw","1000","UCB","X2",83.7241685629997,7,13
"game23","20","mate_in_4","0","draw","1000","UCB","X2",81.0430692959999,7,13
"game5","20","mate_in_4","0","draw","1000","UCB","X2",85.1741381890001,7,13
"game12","20","mate_in_4","0","draw","1000","UCB","X2",80.8684857490007,7,13
"game3","17","mate_in_4","0","White","1000","UCB","X2",81.7006849650002,7,10
"game26","20","mate_in_4","0","draw","1000","UCB","X2",81.1762965720009,7,13
"game29","20","mate_in_4","0","draw","1000","UCB","X2",83.3581486889998,7,13
"game10","20","mate_in_4","0","draw","1000","UCB","X2",81.8275240779994,7,13
"game13","20","mate_in_4","0","draw","1000","UCB","X2",84.7390127920007,7,13
"game11","20","mate_in_4","0","draw","1000","UCB","X2",83.2526891509997,7,13
"game19","20","mate_in_4","0","draw","1000","UCB","X2",82.8747024920012,7,13
"game8","20","mate_in_4","0","draw","1000","UCB","X2",77.9894247279999,7,13
"game1","20","mate_in_4","0","draw","1000","UCB","X2",81.4161290979999,7,13
"game22","15","mate_in_4","0","White","1000","UCB","X2",84.5074001089997,7,8
"game16","20","mate_in_4","0","draw","1000","UCB","X2",82.4864449900015,7,13
"game4","20","mate_in_4","0","draw","1000","UCB","X2",83.4967457159996,7,13
"game24","20","mate_in_4","0","draw","1000","UCB","X2",84.280569710998,7,13
"game25","20","mate_in_4","0","draw","1000","UCB","X2",81.4532534949976,7,13
"game21","20","mate_in_4","0","draw","1000","UCB","X2",82.7249468769987,7,13
"game17","20","mate_in_4","0","draw","1000","UCB","X2",83.0546044999992,7,13
"game18","20","mate_in_4","0","draw","1000","UCB","X2",82.9658732179996,7,13
"game27","20","mate_in_4","0","draw","1000","UCB","X2",80.6114582390001,7,13
"game20","20","mate_in_4","0","draw","1000","UCB","X2",80.7518108730001,7,13
"game9","20","mate_in_4","0","draw","1000","UCB","X2",80.4826169389999,7,13
"game7","11","mate_in_4","0","White","1000","UCB","X2",80.4915342349996,7,4
"game2","20","mate_in_4","0","draw","1000","UCB","X2",82.692903376,7,13
"game15","20","mate_in_4","0","draw","1000","UCB","X2",80.1504554370003,7,13
"game6","20","mate_in_4","0","draw","1000","UCB","X2",81.5603361240001,7,13
"game28","1","mate_in_1","1","White","1000","UCB","X2",0,1,0
"game0","1","mate_in_1","1","White","1000","UCB","X2",0,1,0
"game14","1","mate_in_1","1","White","1000","UCB","X2",0,1,0
