game,move_count,move_times,moves,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,6,"[68.5563458, 70.94698202999999, 69.5977196]","[Move.from_uci('d2d3'), Move.from_uci('c1h6'), Move.from_uci('b1c3')]",,,draw,800,UCB
game1,6,"[70.04618561000001, 70.03158338000003, 69.23213822999998]","[Move.from_uci('c2c4'), Move.from_uci('g2g4'), Move.from_uci('f1h3')]",,,draw,800,UCB
game2,6,"[68.89531191000003, 70.33741762000005, 70.0860222199999]","[Move.from_uci('b1c3'), Move.from_uci('c3e4'), Move.from_uci('g2g3')]",,,draw,800,UCB
game3,6,"[70.68539027999998, 69.68327959999999, 69.75354089999996]","[Move.from_uci('d2d3'), Move.from_uci('g1h3'), Move.from_uci('g2g4')]",,,draw,800,UCB
game4,6,"[70.65716351000003, 70.65882568999996, 70.26289116999999]","[Move.from_uci('g2g3'), Move.from_uci('g3g4'), Move.from_uci('b1c3')]",,,draw,800,UCB
game5,6,"[69.40534100000013, 71.06869420999988, 69.9287362099999]","[Move.from_uci('e2e3'), Move.from_uci('b1c3'), Move.from_uci('c3e2')]",,,draw,800,UCB
game6,6,"[69.87707130000013, 70.23905293999997, 67.9748344699999]","[Move.from_uci('b2b3'), Move.from_uci('c2c3'), Move.from_uci('c1a3')]",,,draw,800,UCB
game7,6,"[70.82092413999999, 70.68809108000005, 68.56502038000008]","[Move.from_uci('f2f4'), Move.from_uci('d2d4'), Move.from_uci('e1f2')]",,,draw,800,UCB
game8,6,"[69.61628040999994, 69.6967748699999, 70.47227081999995]","[Move.from_uci('c2c3'), Move.from_uci('d2d4'), Move.from_uci('b1a3')]",,,draw,800,UCB
game9,6,"[71.6199597100001, 66.94320371000003, 68.72856017000004]","[Move.from_uci('b1a3'), Move.from_uci('f2f3'), Move.from_uci('f3f4')]",,,draw,800,UCB
game10,6,"[70.32873228000017, 70.8823620799999, 69.1475598699999]","[Move.from_uci('g2g4'), Move.from_uci('g1h3'), Move.from_uci('f2f3')]",,,draw,800,UCB
game11,6,"[70.72674387999996, 70.74799971999983, 70.22764623000012]","[Move.from_uci('d2d3'), Move.from_uci('b1d2'), Move.from_uci('f2f4')]",,,draw,800,UCB
game12,6,"[70.09694592999995, 70.67764011000008, 71.37647861000005]","[Move.from_uci('c2c4'), Move.from_uci('e2e4'), Move.from_uci('f1e2')]",,,draw,800,UCB
game13,6,"[69.51247816999967, 69.36055015000011, 67.9927194500001]","[Move.from_uci('c2c3'), Move.from_uci('c3c4'), Move.from_uci('f2f3')]",,,draw,800,UCB
