"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game0","13","mate_in_2","0","White","100","UCB","X1",4.50018861,3,10
"game1","20","mate_in_2","0","draw","100","UCB","X1",5.130707037,3,17
"game2","3","mate_in_2","0","White","100","UCB","X1",3.42551427799999,3,0
"game3","20","mate_in_2","0","draw","100","UCB","X1",4.871342908,3,17
"game4","3","mate_in_2","0","White","100","UCB","X1",4.88145170600001,3,0
"game5","20","mate_in_2","0","draw","100","UCB","X1",4.66847193300001,3,17
"game6","17","mate_in_2","0","White","100","UCB","X1",4.92744370200001,3,14
"game7","3","mate_in_2","0","White","100","UCB","X1",4.59760763400001,3,0
"game8","3","mate_in_2","0","White","100","UCB","X1",4.68394969600001,3,0
"game9","3","mate_in_2","0","White","100","UCB","X1",5.40931749400002,3,0
"game0","20","mate_in_3","0","draw","100","UCB","X1",6.26346402600001,5,15
"game1","20","mate_in_3","0","draw","100","UCB","X1",6.347994271,5,15
"game2","20","mate_in_3","0","draw","100","UCB","X1",6.259659726,5,15
"game3","20","mate_in_3","0","draw","100","UCB","X1",6.44952194699999,5,15
"game4","20","mate_in_3","0","draw","100","UCB","X1",6.36452526200003,5,15
"game5","9","mate_in_3","0","White","100","UCB","X1",6.92217642800006,5,4
"game6","20","mate_in_3","0","draw","100","UCB","X1",6.23794475500006,5,15
"game7","20","mate_in_3","0","draw","100","UCB","X1",6.39906551199999,5,15
"game8","13","mate_in_3","0","White","100","UCB","X1",6.25577849800004,5,8
"game9","5","mate_in_3","0","White","100","UCB","X1",6.57680584899992,5,0
"game0","13","mate_in_2","0","White","100","UCB","X2",4.967249441,3,10
"game1","20","mate_in_2","0","draw","100","UCB","X2",5.072390524,3,17
"game2","3","mate_in_2","0","White","100","UCB","X2",0.863578954999994,3,0
"game3","20","mate_in_2","0","draw","100","UCB","X2",5.179694517,3,17
"game4","3","mate_in_2","0","White","100","UCB","X2",1.99033273200001,3,0
"game5","20","mate_in_2","0","draw","100","UCB","X2",5.001302915,3,17
"game6","17","mate_in_2","0","White","100","UCB","X2",5.14781596899999,3,14
"game7","3","mate_in_2","0","White","100","UCB","X2",1.910511165,3,0
