"game","move_count","mate_count","starting_var","winner","simulation","exp_alg","variable","value","expected","difference"
"game0","13","mate_in_2","0","White","200","UCB","X1",8.385063311,3,10
"game1","3","mate_in_2","0","White","200","UCB","X1",8.65831142099999,3,0
"game2","17","mate_in_2","0","White","200","UCB","X1",9.015260889,3,14
"game3","3","mate_in_2","0","White","200","UCB","X1",8.57369443499999,3,0
"game4","3","mate_in_2","0","White","200","UCB","X1",8.86466456899998,3,0
"game5","20","mate_in_2","0","draw","200","UCB","X1",8.801357983,3,17
"game6","3","mate_in_2","0","White","200","UCB","X1",8.772230428,3,0
"game7","5","mate_in_2","0","White","200","UCB","X1",8.60854405799995,3,2
"game8","11","mate_in_2","0","White","200","UCB","X1",9.165583572,3,8
"game9","20","mate_in_2","0","draw","200","UCB","X1",8.95415334299997,3,17
"game0","20","mate_in_3","0","draw","200","UCB","X1",11.6412769,5,15
"game1","20","mate_in_3","0","draw","200","UCB","X1",11.479835032,5,15
"game2","5","mate_in_3","0","White","200","UCB","X1",10.888429237,5,0
"game3","13","mate_in_3","0","White","200","UCB","X1",12.129021736,5,8
"game4","19","mate_in_3","0","White","200","UCB","X1",10.9712339180001,5,14
"game5","20","mate_in_3","0","draw","200","UCB","X1",11.276199742,5,15
"game6","20","mate_in_3","0","draw","200","UCB","X1",12.3357985189999,5,15
"game7","19","mate_in_3","0","White","200","UCB","X1",12.1671015449999,5,14
"game8","9","mate_in_3","0","White","200","UCB","X1",11.356419641,5,4
"game9","7","mate_in_3","0","White","200","UCB","X1",11.771393754,5,2
"game0","13","mate_in_2","0","White","200","UCB","X2",8.600976599,3,10
"game1","3","mate_in_2","0","White","200","UCB","X2",6.33665408100001,3,0
"game2","17","mate_in_2","0","White","200","UCB","X2",8.90326636499999,3,14
"game3","3","mate_in_2","0","White","200","UCB","X2",3.83698647399999,3,0
"game4","3","mate_in_2","0","White","200","UCB","X2",6.89263198500001,3,0
"game5","20","mate_in_2","0","draw","200","UCB","X2",9.33780328899999,3,17
"game6","3","mate_in_2","0","White","200","UCB","X2",6.14611091900002,3,0
"game7","5","mate_in_2","0","White","200","UCB","X2",8.55171347000004,3,2
"game8","11","mate_in_2","0","White","200","UCB","X2",8.78690570099997,3,8
"game9","20","mate_in_2","0","draw","200","UCB","X2",9.32454096499998,3,17
"game0","20","mate_in_3","0","draw","200","UCB","X2",12.559817713,5,15
"game1","20","mate_in_3","0","draw","200","UCB","X2",11.9041986140001,5,15
"game2","5","mate_in_3","0","White","200","UCB","X2",11.0438231860001,5,0
"game3","13","mate_in_3","0","White","200","UCB","X2",11.772718237,5,8
"game4","19","mate_in_3","0","White","200","UCB","X2",11.880776298,5,14
"game5","20","mate_in_3","0","draw","200","UCB","X2",11.699892386,5,15
"game6","20","mate_in_3","0","draw","200","UCB","X2",11.7335075250001,5,15
"game7","19","mate_in_3","0","White","200","UCB","X2",11.9503986120001,5,14
"game8","9","mate_in_3","0","White","200","UCB","X2",12.3069327010001,5,4
"game9","7","mate_in_3","0","White","200","UCB","X2",11.654297517,5,2
"game0","13","mate_in_2","0","White","200","UCB","X3",9.500376758,3,10
"game1","3","mate_in_2","0","White","200","UCB","X3",0,3,0
"game2","17","mate_in_2","0","White","200","UCB","X3",9.25195194,3,14
"game3","3","mate_in_2","0","White","200","UCB","X3",0,3,0
"game4","3","mate_in_2","0","White","200","UCB","X3",0,3,0
"game5","20","mate_in_2","0","draw","200","UCB","X3",9.44725905499999,3,17
"game6","3","mate_in_2","0","White","200","UCB","X3",0,3,0
"game7","5","mate_in_2","0","White","200","UCB","X3",5.424900509,3,2
"game8","11","mate_in_2","0","White","200","UCB","X3",9.07560672900001,3,8
"game9","20","mate_in_2","0","draw","200","UCB","X3",10.186898236,3,17
"game0","20","mate_in_3","0","draw","200","UCB","X3",11.204988341,5,15
"game1","20","mate_in_3","0","draw","200","UCB","X3",11.806096214,5,15
"game2","5","mate_in_3","0","White","200","UCB","X3",7.08286534599995,5,0
"game3","13","mate_in_3","0","White","200","UCB","X3",11.091962089,5,8
"game4","19","mate_in_3","0","White","200","UCB","X3",11.6259142639999,5,14
"game5","20","mate_in_3","0","draw","200","UCB","X3",11.722634171,5,15
"game6","20","mate_in_3","0","draw","200","UCB","X3",11.9971889579999,5,15
"game7","19","mate_in_3","0","White","200","UCB","X3",12.0592818580001,5,14
"game8","9","mate_in_3","0","White","200","UCB","X3",12.257114024,5,4
"game9","7","mate_in_3","0","White","200","UCB","X3",11.1039132760002,5,2
"game0","13","mate_in_2","0","White","200","UCB","X4",8.36576896,3,10
"game1","3","mate_in_2","0","White","200","UCB","X4",0,3,0
"game2","17","mate_in_2","0","White","200","UCB","X4",8.400173158,3,14
"game3","3","mate_in_2","0","White","200","UCB","X4",0,3,0
"game4","3","mate_in_2","0","White","200","UCB","X4",0,3,0
"game5","20","mate_in_2","0","draw","200","UCB","X4",9.30899974299999,3,17
"game6","3","mate_in_2","0","White","200","UCB","X4",0,3,0
"game7","5","mate_in_2","0","White","200","UCB","X4",0,3,2
"game8","11","mate_in_2","0","White","200","UCB","X4",8.47120040699997,3,8
"game9","20","mate_in_2","0","draw","200","UCB","X4",8.89095316800001,3,17
"game0","20","mate_in_3","0","draw","200","UCB","X4",11.521780513,5,15
"game1","20","mate_in_3","0","draw","200","UCB","X4",10.864792245,5,15
"game2","5","mate_in_3","0","White","200","UCB","X4",0,5,0
"game3","13","mate_in_3","0","White","200","UCB","X4",11.189946643,5,8
"game4","19","mate_in_3","0","White","200","UCB","X4",11.596266128,5,14
"game5","20","mate_in_3","0","draw","200","UCB","X4",11.448758927,5,15
